Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,184.1,181.7,190.0,180.7,187.2
2,Houston,185.7,175.0,179.0,192.3,180.6
3,San Antonio,187.4,192.7,185.0,185.0,190.7
4,Detroit,187.9,186.7,191.0,190.4,185.9
5,Orlando,187.9,190.3,169.0,184.0,192.3
6,LA Lakers,188.8,189.7,181.0,190.4,187.6
7,Toronto,189.0,172.3,169.0,185.2,192.4
8,Denver,189.2,193.3,195.0,188.1,190.1
9,Phoenix,189.4,178.3,168.0,183.2,198.0
10,New York,190.5,181.0,161.0,188.9,192.3
11,Boston,191.6,204.0,199.0,195.3,187.0
12,Minnesota,193.7,194.3,186.0,190.3,196.5
13,Golden State,195.4,207.0,194.0,190.8,198.4
14,Atlanta,195.5,192.7,210.0,195.0,195.8
15,LA Clippers,196.3,197.7,211.0,190.8,200.7
16,Charlotte,196.9,204.0,208.0,192.2,201.7
17,Cleveland,197.9,185.0,201.0,193.7,203.8
18,Memphis,198.2,194.3,208.0,196.1,200.6
19,Philadelphia,199.4,219.3,239.0,200.0,198.6
20,Portland,200.8,193.3,196.0,195.6,204.6
21,Dallas,201.9,192.7,189.0,204.3,196.8
22,Milwaukee,202.2,195.7,191.0,201.2,203.6
23,Miami,204.4,191.0,189.0,204.0,204.9
24,Brooklyn,204.8,186.7,192.0,207.5,202.3
25,Indiana,206.1,195.0,174.0,205.8,206.3
26,New Orleans,206.5,205.3,224.0,209.2,202.8
27,Sacramento,206.9,197.0,193.0,205.7,208.0
28,Chicago,208.1,232.0,241.0,201.5,213.9
29,Utah,208.2,210.7,228.0,212.3,203.5
30,Washington,216.9,213.7,200.0,219.9,214.9
