Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,160.5,157.3,165.0,158.3,162.5
2,San Antonio,161.3,166.7,164.0,158.5,165.3
3,Houston,161.4,153.7,154.0,168.0,156.3
4,LA Lakers,161.9,161.7,157.0,164.0,160.4
5,Denver,163.1,164.7,162.0,162.5,163.6
6,Toronto,163.6,149.0,149.0,160.7,166.3
7,Orlando,164.0,164.0,147.0,159.5,169.0
8,Phoenix,164.1,157.3,148.0,159.8,169.9
9,New York,164.5,160.3,146.0,161.8,167.5
10,Detroit,164.6,161.7,167.0,168.8,161.3
11,Boston,166.8,176.0,179.0,169.5,163.5
12,Minnesota,167.8,170.7,167.0,164.1,170.8
13,Charlotte,168.1,174.7,182.0,164.7,171.4
14,Golden State,168.6,178.0,170.0,165.0,170.9
15,LA Clippers,169.1,170.7,182.0,163.5,173.5
16,Atlanta,169.2,167.0,180.0,168.9,169.3
17,Memphis,171.0,166.0,174.0,170.6,171.4
18,Cleveland,171.1,159.7,173.0,167.5,176.0
19,Philadelphia,171.8,186.0,201.0,172.1,171.3
20,Portland,174.2,169.3,179.0,171.4,176.2
21,Milwaukee,175.3,166.7,159.0,174.2,176.9
22,Miami,175.9,164.0,158.0,175.3,176.6
23,Brooklyn,175.9,159.3,164.0,176.5,175.4
24,Dallas,177.3,168.3,167.0,179.4,172.7
25,New Orleans,177.7,173.7,186.0,180.3,174.1
26,Sacramento,177.9,172.3,168.0,178.3,177.6
27,Utah,178.1,179.7,194.0,180.6,175.3
28,Chicago,180.2,200.0,213.0,172.0,187.6
29,Indiana,180.5,171.7,156.0,180.4,180.6
30,Washington,187.1,182.0,167.0,189.4,185.4
