Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,73.6,69.7,66.0,73.2,74.1
2,LA Lakers,73.9,73.0,63.0,71.7,75.5
3,Detroit,75.0,70.0,74.0,76.3,74.0
4,Houston,75.3,73.7,79.0,81.0,70.8
5,Denver,75.4,76.0,80.0,76.0,74.8
6,San Antonio,75.8,79.7,83.0,73.9,78.4
7,Charlotte,76.1,79.7,79.0,75.0,77.1
8,New York,76.2,69.7,60.0,76.4,75.9
9,Toronto,76.5,71.3,74.0,75.7,77.3
10,Phoenix,76.8,73.0,68.0,74.5,79.9
11,LA Clippers,78.1,74.0,76.0,74.8,80.7
12,Okla City,78.5,77.7,85.0,77.1,79.7
13,Minnesota,79.6,79.7,73.0,79.3,79.8
14,Portland,79.8,80.0,81.0,76.9,81.9
15,Atlanta,80.2,79.3,78.0,79.6,80.6
16,Memphis,80.7,78.0,80.0,79.6,81.9
17,Golden State,80.9,91.0,90.0,82.5,79.8
18,Philadelphia,81.0,91.0,95.0,81.5,80.3
19,Boston,81.4,85.3,85.0,82.2,80.4
20,Utah,82.6,82.0,94.0,83.8,81.4
21,Cleveland,83.2,77.0,91.0,81.3,85.8
22,Milwaukee,83.6,79.0,85.0,80.5,87.9
23,Chicago,83.8,96.7,98.0,80.6,86.7
24,Sacramento,83.8,81.3,81.0,83.2,84.4
25,New Orleans,84.0,79.3,91.0,86.5,80.6
26,Indiana,84.7,82.0,77.0,83.8,85.4
27,Brooklyn,85.1,74.3,79.0,86.0,84.2
28,Dallas,86.5,85.0,83.0,87.9,83.3
29,Miami,87.3,83.7,86.0,89.5,84.8
30,Washington,88.8,89.0,87.0,90.7,87.4
