Rank,Team,2026,Last 3,Last 1,Home,Away
1,Boston,5.7,4.3,5.0,4.6,7.0
2,New York,7.1,5.0,5.0,7.1,7.1
3,Indiana,7.4,7.3,9.0,8.0,7.0
4,Okla City,7.6,7.3,4.0,8.3,7.0
5,Denver,7.8,7.3,6.0,7.5,8.1
6,Minnesota,7.9,10.0,8.0,8.0,7.9
7,Memphis,8.0,6.3,10.0,8.2,7.8
8,Orlando,8.1,6.0,7.0,8.7,7.3
8,Toronto,8.1,7.7,7.0,8.0,8.1
10,Brooklyn,8.1,8.3,6.0,9.0,7.3
11,Philadelphia,8.2,8.0,10.0,7.6,9.0
12,San Antonio,8.4,6.7,3.0,8.8,7.7
13,Houston,8.4,8.3,8.0,7.1,9.3
14,Charlotte,8.4,8.7,12.0,8.9,7.9
15,Cleveland,8.4,8.0,8.0,8.7,8.0
16,Detroit,8.4,9.3,9.0,8.9,8.1
17,Atlanta,8.5,7.3,13.0,9.6,7.8
18,Golden State,8.6,7.3,7.0,7.8,9.1
19,Milwaukee,8.6,9.0,9.0,8.9,8.1
19,New Orleans,8.6,6.3,9.0,8.2,9.1
21,Sacramento,8.6,8.0,14.0,9.8,7.6
22,Chicago,9.4,11.7,13.0,9.1,9.6
23,LA Lakers,9.4,9.0,7.0,8.6,10.0
24,Phoenix,9.5,8.7,9.0,9.6,9.3
24,Miami,9.5,7.3,7.0,9.6,9.3
26,LA Clippers,9.8,8.0,9.0,10.1,9.5
27,Dallas,9.8,9.3,8.0,9.8,9.7
28,Utah,9.9,11.0,11.0,10.7,9.1
29,Washington,10.8,7.3,4.0,10.0,11.3
30,Portland,10.8,10.3,12.0,11.0,10.6
