Rank,Team,2026,Last 3,Last 1,Home,Away
1,Charlotte,7.8,10.7,12.0,8.1,7.4
2,LA Lakers,7.9,9.3,10.0,6.7,8.7
3,LA Clippers,8.1,8.0,9.0,7.0,9.0
4,Toronto,8.3,8.0,11.0,8.6,8.1
5,Memphis,8.4,7.3,6.0,8.3,8.6
6,Chicago,8.5,10.3,15.0,7.8,9.1
6,Denver,8.5,8.0,7.0,8.1,8.8
8,Sacramento,8.6,10.0,9.0,7.9,9.3
9,Washington,8.6,8.7,10.0,9.4,8.1
10,Atlanta,8.7,11.3,12.0,7.4,9.4
11,Orlando,8.8,6.3,6.0,8.2,9.4
12,New York,8.9,10.7,10.0,8.6,9.4
13,Portland,8.9,7.7,7.0,8.0,9.6
14,Golden State,9.0,11.3,13.0,9.3,8.8
15,Miami,9.2,8.7,8.0,8.5,10.0
16,Philadelphia,9.4,8.7,10.0,9.4,9.3
17,Phoenix,9.4,7.7,6.0,10.2,8.3
18,San Antonio,9.4,10.3,14.0,8.4,10.9
19,Utah,9.6,10.7,10.0,10.2,8.9
20,Minnesota,9.7,11.3,14.0,9.1,10.2
21,Detroit,9.8,8.7,6.0,10.9,8.9
22,New Orleans,10.6,6.3,4.0,12.5,8.1
23,Milwaukee,10.9,7.7,6.0,8.4,14.4
24,Cleveland,10.9,7.0,12.0,11.5,10.3
25,Indiana,11.0,10.3,11.0,10.1,11.7
26,Okla City,11.5,10.7,16.0,11.1,11.8
27,Brooklyn,11.8,7.3,8.0,9.4,13.9
28,Boston,11.8,10.3,9.0,10.8,13.0
29,Dallas,12.2,8.7,8.0,13.5,9.3
30,Houston,12.4,11.0,7.0,16.4,9.3
