Rank,Team,2026,Last 3,Last 1,Home,Away
1,Miami,31.7%,32.5%,33.3%,29.9%,33.9%
2,Dallas,31.9%,23.5%,18.5%,32.3%,30.9%
3,Denver,32.0%,35.4%,34.0%,30.8%,33.0%
4,Indiana,32.1%,31.4%,19.2%,32.1%,32.1%
5,Toronto,32.2%,32.2%,33.3%,31.9%,32.4%
6,Phoenix,34.0%,35.4%,35.3%,32.7%,35.6%
7,Golden State,34.7%,31.7%,28.2%,31.3%,37.3%
8,Atlanta,34.8%,37.6%,50.0%,33.1%,35.7%
9,Sacramento,35.3%,33.9%,33.3%,36.3%,34.4%
10,Houston,35.4%,33.0%,27.9%,35.8%,35.1%
11,Philadelphia,35.5%,37.3%,38.2%,36.1%,34.8%
12,Milwaukee,35.6%,40.4%,27.8%,37.7%,32.6%
13,LA Lakers,35.7%,32.5%,37.1%,34.5%,36.6%
14,Boston,35.8%,37.4%,30.6%,36.7%,34.6%
15,Minnesota,35.9%,33.7%,26.9%,36.9%,35.1%
16,Chicago,36.1%,39.4%,37.1%,35.3%,36.7%
17,Orlando,36.3%,38.9%,36.0%,34.5%,38.7%
18,Cleveland,36.5%,29.3%,27.8%,37.0%,35.9%
19,Portland,36.7%,36.8%,33.3%,38.8%,35.2%
20,Okla City,36.8%,36.9%,45.9%,34.8%,38.5%
21,New Orleans,36.9%,40.6%,45.9%,37.0%,36.7%
22,Washington,37.0%,35.7%,34.9%,37.9%,36.5%
23,Detroit,37.1%,45.3%,46.5%,34.4%,39.2%
24,Utah,37.3%,40.9%,36.5%,38.0%,36.4%
25,Memphis,37.3%,42.7%,42.2%,36.3%,38.3%
26,New York,37.9%,32.3%,30.2%,38.9%,36.7%
27,San Antonio,38.4%,38.7%,25.0%,38.6%,38.0%
28,LA Clippers,38.9%,37.3%,44.8%,39.8%,38.2%
29,Brooklyn,39.5%,38.4%,34.3%,36.8%,42.0%
30,Charlotte,41.6%,43.4%,52.0%,40.2%,42.9%
