Rank,Team,2026,Last 3,Last 1,Home,Away
1,Dallas,36.5%,30.7%,28.7%,36.9%,35.6%
2,Orlando,36.7%,38.2%,30.5%,39.9%,33.2%
3,Chicago,37.3%,36.3%,33.7%,35.8%,38.6%
4,Charlotte,38.5%,36.8%,28.4%,38.5%,38.4%
5,Minnesota,39.1%,32.0%,32.1%,36.9%,40.8%
6,Cleveland,39.3%,38.4%,40.0%,35.4%,44.2%
7,Indiana,39.4%,32.7%,28.9%,40.5%,38.4%
8,Portland,39.4%,39.0%,32.7%,38.5%,40.1%
9,Golden State,40.1%,42.0%,39.4%,41.3%,39.2%
10,Philadelphia,40.5%,35.1%,33.7%,38.9%,42.7%
11,Brooklyn,40.5%,37.8%,39.8%,41.9%,39.3%
12,Washington,41.0%,41.4%,45.3%,40.7%,41.1%
13,Phoenix,41.3%,39.4%,39.5%,39.3%,43.9%
14,San Antonio,41.5%,41.0%,41.4%,44.6%,37.0%
15,Milwaukee,42.0%,45.0%,42.4%,42.3%,41.6%
16,Atlanta,42.1%,42.9%,45.2%,39.1%,43.8%
17,Denver,42.1%,40.8%,50.5%,42.7%,41.5%
18,Boston,42.7%,38.9%,38.7%,42.2%,43.3%
19,Sacramento,42.7%,43.2%,46.2%,43.3%,42.2%
20,LA Clippers,43.0%,42.5%,33.3%,42.9%,43.1%
21,Toronto,43.2%,47.9%,42.3%,44.4%,42.2%
22,Detroit,43.3%,46.2%,49.4%,41.4%,44.9%
23,Memphis,43.8%,43.8%,44.6%,40.4%,47.6%
24,LA Lakers,44.2%,44.9%,43.2%,44.5%,43.9%
25,Houston,44.3%,45.8%,52.4%,41.4%,46.6%
26,Okla City,44.4%,48.6%,46.3%,43.7%,44.9%
27,Miami,45.9%,42.4%,44.2%,46.8%,44.9%
28,Utah,46.1%,46.5%,50.0%,47.0%,45.1%
29,New York,46.3%,48.2%,50.6%,47.3%,45.1%
30,New Orleans,47.7%,49.4%,38.1%,47.9%,47.4%
