Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,17.2%,19.8%,15.7%,18.2%,16.3%
2,Phoenix,16.6%,18.1%,19.0%,16.4%,16.7%
3,Detroit,16.3%,14.0%,12.9%,16.3%,16.3%
4,LA Lakers,15.8%,15.1%,16.0%,16.0%,15.5%
5,Atlanta,15.6%,15.5%,12.3%,15.7%,15.5%
6,Cleveland,15.6%,14.8%,15.6%,15.3%,15.9%
7,Golden State,15.5%,14.8%,10.5%,15.1%,15.8%
8,Toronto,15.4%,16.0%,17.3%,15.4%,15.5%
9,New Orleans,15.2%,12.5%,14.6%,15.7%,14.5%
10,Portland,15.0%,11.8%,8.6%,15.7%,14.6%
11,Minnesota,14.9%,15.3%,8.8%,15.7%,14.2%
12,New York,14.7%,13.6%,16.4%,16.0%,13.2%
13,Boston,14.4%,11.8%,12.9%,14.2%,14.6%
14,Miami,14.4%,14.3%,13.7%,14.9%,13.8%
15,Orlando,14.4%,13.9%,19.4%,14.6%,14.0%
16,San Antonio,14.2%,13.0%,17.2%,14.6%,13.7%
17,Milwaukee,14.1%,14.5%,13.7%,14.2%,13.9%
18,Houston,14.0%,17.9%,16.8%,14.0%,14.0%
19,Sacramento,13.9%,14.7%,17.0%,15.1%,12.8%
20,Memphis,13.6%,12.8%,13.7%,13.3%,14.0%
21,LA Clippers,13.4%,12.1%,11.0%,14.3%,12.6%
22,Brooklyn,13.3%,10.3%,8.4%,13.1%,13.5%
23,Dallas,13.2%,12.9%,13.3%,12.9%,13.9%
24,Indiana,13.1%,14.1%,12.5%,13.3%,12.9%
25,Philadelphia,13.0%,12.0%,11.1%,12.2%,14.0%
26,Utah,12.8%,11.9%,9.3%,12.8%,12.9%
27,Charlotte,12.6%,11.2%,14.4%,12.0%,13.2%
28,Denver,12.2%,11.4%,11.1%,12.1%,12.2%
29,Washington,11.8%,13.8%,18.0%,12.8%,11.1%
30,Chicago,11.5%,11.7%,12.4%,11.1%,11.9%
