Rank,Team,2026,Last 3,Last 1,Home,Away
1,Okla City,46.4%,46.5%,37.2%,48.5%,44.7%
2,San Antonio,49.5%,53.8%,54.9%,50.2%,48.7%
3,Boston,49.9%,51.8%,45.6%,51.3%,48.0%
4,Detroit,50.2%,49.3%,40.9%,52.2%,48.4%
5,Minnesota,51.8%,51.7%,56.4%,50.8%,52.6%
6,Cleveland,52.4%,56.0%,63.0%,51.6%,53.5%
7,Miami,52.7%,49.1%,49.1%,51.4%,54.2%
8,Dallas,52.8%,52.6%,55.2%,52.2%,54.1%
9,Houston,53.3%,55.8%,59.0%,54.0%,52.6%
10,Chicago,53.6%,52.9%,58.0%,54.6%,52.7%
11,Orlando,53.8%,62.3%,49.1%,54.7%,52.9%
12,New York,54.1%,56.4%,52.4%,53.6%,54.8%
13,LA Clippers,54.7%,63.8%,63.8%,52.7%,56.2%
14,Golden State,54.8%,54.2%,46.7%,52.3%,56.4%
15,Atlanta,55.1%,55.9%,63.0%,56.8%,54.0%
16,Phoenix,55.2%,52.6%,53.8%,52.8%,58.8%
17,Denver,55.3%,56.1%,58.7%,54.5%,56.0%
18,Washington,55.4%,56.4%,53.8%,55.1%,55.6%
19,Philadelphia,55.4%,57.7%,61.2%,54.7%,56.4%
20,Portland,55.8%,51.2%,44.1%,52.3%,58.4%
21,Charlotte,56.0%,57.6%,58.7%,55.2%,56.8%
22,Memphis,56.2%,49.1%,55.4%,55.7%,56.8%
23,Milwaukee,56.3%,60.2%,59.2%,56.3%,56.4%
24,Toronto,56.4%,55.2%,53.3%,58.0%,55.1%
25,LA Lakers,57.2%,61.9%,63.0%,61.0%,54.6%
26,Brooklyn,57.7%,54.0%,62.3%,63.0%,53.2%
27,Indiana,58.0%,52.5%,46.9%,57.2%,58.5%
28,Utah,58.4%,60.3%,61.5%,56.0%,61.2%
29,Sacramento,60.7%,54.1%,57.1%,58.7%,62.5%
30,New Orleans,62.8%,61.0%,58.3%,62.6%,63.1%
