Rank,Team,2026,Last 3,Last 1,Home,Away
1,Miami,16.8%,12.1%,8.8%,16.2%,17.4%
2,Charlotte,16.9%,15.4%,14.3%,17.4%,16.4%
3,Denver,17.2%,16.7%,13.7%,16.8%,17.6%
4,Memphis,17.2%,15.3%,15.0%,17.9%,16.4%
5,Sacramento,17.6%,16.3%,14.5%,17.2%,18.0%
6,LA Lakers,17.7%,17.8%,20.6%,19.8%,16.3%
7,Dallas,17.8%,16.6%,15.9%,17.6%,18.1%
8,Chicago,17.9%,16.5%,15.9%,17.7%,18.1%
9,New Orleans,17.9%,16.2%,14.9%,17.6%,18.4%
10,Golden State,18.0%,17.8%,21.6%,16.5%,19.0%
11,Atlanta,18.0%,18.1%,17.0%,18.5%,17.8%
12,Philadelphia,18.2%,15.5%,16.2%,18.4%,17.9%
13,LA Clippers,18.2%,17.6%,19.7%,18.9%,17.6%
14,San Antonio,18.2%,16.0%,18.9%,16.7%,20.3%
15,Houston,18.2%,18.9%,18.5%,18.6%,18.0%
16,Okla City,18.2%,18.4%,22.0%,18.5%,18.0%
17,Cleveland,18.4%,16.9%,11.5%,19.2%,17.4%
18,Portland,18.6%,16.6%,17.7%,16.8%,19.9%
19,Orlando,18.9%,18.9%,17.2%,19.0%,18.8%
20,New York,19.0%,21.3%,19.5%,18.1%,20.1%
21,Utah,19.0%,17.4%,11.4%,19.8%,18.1%
22,Brooklyn,19.0%,15.9%,13.4%,18.2%,19.8%
23,Toronto,19.1%,17.0%,17.8%,18.7%,19.5%
24,Washington,19.3%,17.7%,15.9%,19.7%,19.0%
25,Milwaukee,19.3%,18.5%,13.5%,18.8%,20.0%
26,Detroit,19.7%,18.8%,16.0%,20.0%,19.5%
27,Minnesota,19.8%,21.6%,23.2%,18.9%,20.4%
28,Phoenix,19.9%,17.1%,12.7%,20.3%,19.4%
29,Indiana,20.4%,20.2%,19.0%,20.0%,20.8%
30,Boston,21.1%,21.3%,22.2%,20.6%,21.9%
