Rank,Team,2026,Last 3,Last 1,Home,Away
1,Miami,153.3,141.7,138.0,151.6,155.1
2,Denver,153.1,149.3,157.0,156.9,149.7
3,Chicago,150.9,146.3,159.0,149.5,152.2
4,New York,149.8,148.3,155.0,153.3,145.9
5,Toronto,148.8,134.0,115.0,146.0,151.3
6,Okla City,148.3,155.7,132.0,148.8,147.8
7,Utah,147.6,141.3,149.0,160.4,133.3
8,Atlanta,147.6,144.7,146.0,140.9,151.6
9,Houston,146.4,132.7,128.0,146.9,146.0
10,Detroit,145.9,146.7,134.0,147.4,144.8
11,Cleveland,145.9,140.7,126.0,142.9,150.0
12,Orlando,145.8,168.3,182.0,140.3,151.9
13,Minnesota,144.5,131.3,130.0,145.3,143.9
14,LA Lakers,144.3,155.3,164.0,150.9,139.7
15,San Antonio,144.2,140.0,132.0,147.9,139.0
16,Portland,143.5,125.0,123.0,141.4,145.0
17,Philadelphia,143.2,141.0,125.0,140.9,146.4
18,Milwaukee,142.8,134.7,134.0,147.8,135.9
19,Phoenix,142.7,126.0,137.0,142.0,143.6
20,Golden State,142.5,148.3,125.0,148.9,138.2
21,Memphis,142.4,149.0,171.0,145.7,138.8
22,Charlotte,140.9,130.7,116.0,137.4,144.3
23,Washington,140.1,150.3,162.0,139.4,140.5
24,Boston,139.3,145.7,141.0,145.1,132.0
25,Sacramento,137.6,141.3,120.0,135.3,139.6
26,LA Clippers,136.2,143.7,142.0,140.8,132.5
27,New Orleans,135.2,150.7,162.0,137.8,131.5
28,Brooklyn,133.8,131.7,119.0,132.3,135.2
29,Dallas,133.4,129.0,124.0,136.2,127.3
30,Indiana,132.9,129.3,115.0,140.9,126.6
