Rank,Team,2026,Last 3,Last 1,Home,Away
1,Detroit,58.1,52.0,42.0,56.0,59.8
2,Miami,57.5,59.3,42.0,58.2,56.7
3,Denver,54.0,46.7,46.0,58.3,50.2
3,Chicago,54.0,51.3,44.0,56.3,52.0
5,Orlando,53.8,65.3,80.0,52.2,55.6
5,Toronto,53.8,46.0,46.0,49.6,57.6
7,LA Lakers,53.5,63.3,62.0,58.9,49.8
8,New Orleans,53.1,60.0,50.0,54.2,51.5
9,Atlanta,52.9,54.7,56.0,50.9,54.2
10,Houston,52.6,48.7,42.0,55.1,50.7
11,Okla City,52.0,52.7,50.0,50.4,53.4
12,Portland,51.8,39.3,46.0,52.5,51.3
13,Minnesota,51.2,42.7,28.0,54.8,48.4
14,San Antonio,50.8,48.7,48.0,48.6,54.0
15,Philadelphia,49.6,50.0,56.0,50.0,49.1
16,Utah,49.2,51.3,66.0,49.6,48.8
17,Charlotte,49.0,44.0,40.0,46.2,51.8
18,Sacramento,48.8,56.0,48.0,46.2,51.2
19,Dallas,48.5,46.0,52.0,48.2,49.3
20,New York,48.4,54.0,64.0,47.8,49.0
21,LA Clippers,47.9,51.3,50.0,49.0,47.0
22,Washington,47.8,48.7,48.0,48.0,47.6
23,Milwaukee,47.5,40.7,44.0,48.9,45.5
23,Memphis,47.5,54.7,66.0,45.4,49.8
25,Cleveland,46.0,44.0,42.0,46.0,46.0
26,Indiana,45.6,43.3,40.0,47.3,44.2
27,Phoenix,44.8,42.0,52.0,43.8,46.3
28,Boston,41.9,46.0,22.0,45.4,37.5
29,Golden State,41.1,46.7,42.0,46.5,37.5
30,Brooklyn,40.9,39.3,30.0,39.8,42.0
