Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,123.8,120.0,125.0,125.4,122.4
2,Miami,122.9,113.0,106.0,121.4,124.7
3,Okla City,122.1,126.3,113.0,121.2,122.9
4,Chicago,121.3,119.3,130.0,120.3,122.2
5,Houston,121.1,109.0,104.0,122.7,119.9
6,New York,120.8,121.0,129.0,124.7,116.5
7,Orlando,119.6,135.3,144.0,116.3,123.3
8,Detroit,119.3,121.7,114.0,120.6,118.3
9,Toronto,119.2,108.7,97.0,117.6,120.6
10,Minnesota,118.8,110.0,105.0,119.5,118.3
11,Cleveland,118.8,113.0,99.0,116.3,122.3
12,Portland,118.4,104.0,102.0,116.4,119.9
13,LA Lakers,118.3,127.7,135.0,124.0,114.3
14,Utah,118.1,111.7,117.0,128.4,106.4
14,San Antonio,118.1,117.3,115.0,119.0,116.7
16,Philadelphia,117.4,114.3,103.0,115.1,120.7
17,Atlanta,117.1,113.7,113.0,112.7,119.7
18,Phoenix,116.8,105.0,112.0,117.2,116.3
19,Milwaukee,115.8,107.3,103.0,120.3,109.6
20,Charlotte,115.3,109.0,101.0,112.1,118.6
21,Golden State,115.1,119.0,100.0,119.4,112.2
22,Boston,114.8,120.0,117.0,119.3,109.1
23,Washington,114.1,120.7,132.0,114.1,114.0
24,Memphis,113.4,116.7,133.0,116.7,109.7
25,LA Clippers,112.2,118.0,118.0,114.5,110.3
26,Sacramento,111.6,115.0,100.0,109.9,113.2
27,New Orleans,111.5,123.0,128.0,113.2,109.1
28,Indiana,109.6,107.0,95.0,116.3,104.3
29,Dallas,109.5,105.3,102.0,112.0,104.2
30,Brooklyn,109.2,107.3,100.0,108.1,110.2
