Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,86.9,79.7,90.0,86.9,86.9
2,Miami,85.9,88.3,85.0,86.0,85.9
3,Utah,85.4,83.3,90.0,89.3,80.9
4,Chicago,84.1,80.0,70.0,86.0,82.4
5,Memphis,83.8,88.3,91.0,83.9,83.8
6,Denver,83.7,82.3,86.0,88.0,79.9
7,New York,83.2,76.3,79.0,84.2,82.0
8,Detroit,82.9,79.3,85.0,85.5,80.9
9,Cleveland,82.6,77.7,67.0,81.5,84.1
10,Okla City,81.5,79.0,73.0,79.1,83.6
11,Portland,81.4,78.7,83.0,83.1,80.2
12,Dallas,81.2,78.0,83.0,82.4,78.5
13,Toronto,81.0,80.0,77.0,79.6,82.3
14,Orlando,80.6,85.0,95.0,78.7,82.8
15,San Antonio,80.6,79.3,81.0,81.5,79.3
16,Charlotte,80.5,69.0,60.0,77.6,83.4
17,Atlanta,80.3,80.3,87.0,76.0,82.8
18,Philadelphia,80.2,79.3,66.0,79.3,81.6
19,Boston,79.8,72.7,74.0,77.1,83.3
20,Minnesota,79.5,78.7,85.0,82.1,77.4
21,Phoenix,79.2,74.3,81.0,78.2,80.5
22,Indiana,79.0,70.7,74.0,80.9,77.5
23,Golden State,78.0,80.0,79.0,80.5,76.3
24,Washington,77.0,78.0,78.0,75.6,78.0
25,Milwaukee,76.9,75.3,86.0,74.1,80.9
26,LA Lakers,76.6,79.3,76.0,77.9,75.8
27,New Orleans,76.4,86.0,80.0,78.3,73.9
28,Brooklyn,74.9,77.7,78.0,73.8,75.9
29,Sacramento,74.3,76.0,68.0,73.9,74.7
30,LA Clippers,72.6,71.0,63.0,73.1,72.1
