Rank,Team,2026,Last 3,Last 1,Home,Away
1,LA Lakers,51.1%,53.7%,57.5%,53.2%,49.6%
2,Denver,50.6%,50.6%,50.5%,49.7%,51.5%
3,Toronto,49.6%,44.7%,38.9%,48.9%,50.2%
4,Milwaukee,48.9%,45.7%,42.1%,51.1%,45.9%
5,San Antonio,48.8%,45.0%,40.6%,50.0%,47.2%
6,Atlanta,48.7%,47.1%,45.3%,45.8%,50.4%
7,Okla City,48.7%,53.8%,46.9%,48.4%,48.9%
8,Detroit,48.5%,50.2%,39.8%,46.7%,50.0%
9,Minnesota,48.2%,42.6%,41.3%,48.2%,48.2%
10,Orlando,47.9%,51.7%,53.5%,47.2%,48.7%
11,Miami,47.9%,46.6%,45.9%,47.3%,48.6%
12,Houston,47.9%,43.9%,39.4%,47.4%,48.3%
13,Chicago,47.5%,44.9%,52.4%,47.2%,47.7%
14,LA Clippers,47.3%,49.8%,51.9%,50.3%,45.0%
15,New York,47.2%,54.1%,56.8%,46.8%,47.6%
16,Phoenix,46.9%,44.0%,46.2%,48.5%,44.9%
17,Sacramento,46.7%,47.4%,46.5%,44.9%,48.5%
18,Washington,46.5%,49.2%,57.1%,45.7%,47.2%
19,Philadelphia,46.2%,44.4%,45.1%,46.5%,45.9%
20,Cleveland,46.0%,47.1%,41.4%,47.1%,44.7%
21,Boston,45.9%,50.2%,43.7%,46.9%,44.6%
22,Charlotte,45.5%,44.9%,41.2%,46.1%,44.9%
23,Golden State,45.3%,46.8%,42.7%,47.7%,43.7%
24,Utah,45.1%,46.0%,47.5%,46.8%,43.0%
25,New Orleans,44.9%,47.8%,49.5%,45.4%,44.3%
26,Portland,44.5%,41.5%,42.5%,44.0%,44.9%
27,Dallas,44.1%,41.5%,39.2%,44.4%,43.4%
28,Brooklyn,44.0%,45.5%,37.9%,42.7%,45.2%
29,Memphis,43.9%,46.8%,53.6%,44.2%,43.5%
30,Indiana,41.6%,44.8%,44.9%,43.9%,39.8%
