Rank,Team,2026,Last 3,Last 1,Home,Away
1,Phoenix,10.8,11.0,14.0,9.8,12.1
2,Okla City,10.7,10.7,8.0,11.4,10.0
3,Golden State,10.1,11.0,8.0,10.3,10.0
4,Detroit,9.8,7.7,5.0,10.1,9.6
5,New Orleans,9.5,9.3,10.0,9.4,9.6
5,Miami,9.5,8.0,9.0,9.4,9.6
7,LA Lakers,9.4,8.3,9.0,9.1,9.6
8,Houston,9.3,9.3,7.0,10.0,8.8
9,Atlanta,9.2,5.3,4.0,8.7,9.5
10,New York,9.1,7.7,12.0,9.0,9.3
11,Cleveland,9.1,8.7,11.0,7.9,10.8
12,Minnesota,9.1,10.0,4.0,10.1,8.2
13,Toronto,9.0,9.7,9.0,8.8,9.2
14,Portland,8.8,6.3,3.0,9.4,8.4
15,San Antonio,8.7,8.7,12.0,8.8,8.6
16,Sacramento,8.6,8.7,9.0,8.1,9.1
17,LA Clippers,8.3,7.0,7.0,9.1,7.7
18,Dallas,8.2,7.0,8.0,8.0,8.7
19,Orlando,8.1,6.0,10.0,7.9,8.3
20,Boston,8.1,7.3,9.0,8.3,7.8
21,Milwaukee,8.0,8.3,7.0,8.1,7.9
22,Utah,7.9,8.0,7.0,8.4,7.4
23,Chicago,7.6,4.7,4.0,7.0,8.2
24,Memphis,7.6,6.7,9.0,7.4,7.8
25,Denver,7.5,4.7,5.0,7.8,7.2
26,Philadelphia,7.4,7.7,7.0,6.7,8.4
27,Washington,7.2,10.3,13.0,7.7,6.8
28,Brooklyn,6.9,5.0,5.0,7.6,6.3
29,Indiana,6.8,9.3,7.0,6.8,6.8
30,Charlotte,6.6,4.7,5.0,5.2,8.0
