Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,12.3,11.0,13.0,14.0,11.0
2,Cleveland,12.0,6.7,3.0,12.5,11.3
3,Dallas,11.8,8.3,11.0,12.6,10.2
4,Boston,11.0,5.3,6.0,7.4,15.5
5,Brooklyn,10.9,11.7,15.0,9.9,11.9
6,Portland,10.7,10.7,14.0,12.9,9.1
7,Indiana,10.6,9.7,11.0,10.6,10.6
8,New Orleans,10.4,10.7,6.0,11.5,8.8
9,Philadelphia,10.2,7.0,6.0,10.2,10.1
10,Charlotte,10.2,8.7,10.0,9.6,10.8
11,Okla City,10.1,11.3,14.0,8.6,11.5
12,Milwaukee,9.9,7.7,8.0,7.5,13.3
13,Detroit,9.9,10.0,9.0,9.3,10.5
14,Phoenix,9.7,10.3,9.0,9.9,9.4
15,Orlando,9.6,9.7,10.0,9.1,10.2
16,Minnesota,9.6,12.0,16.0,10.5,8.9
17,LA Lakers,9.5,10.3,9.0,11.4,8.1
18,Miami,9.2,7.0,6.0,9.5,8.9
19,Utah,9.2,10.0,11.0,8.8,9.6
20,Memphis,9.1,6.0,4.0,10.1,7.9
21,Toronto,9.0,11.0,11.0,8.4,9.5
22,Sacramento,8.6,7.0,6.0,8.2,8.9
23,New York,8.4,9.0,12.0,8.3,8.5
24,Atlanta,8.4,8.3,10.0,8.3,8.4
25,Denver,8.4,12.3,8.0,8.1,8.6
26,San Antonio,8.3,6.7,7.0,8.3,8.3
27,Chicago,8.1,11.0,8.0,10.0,6.4
28,LA Clippers,7.9,8.7,10.0,7.0,8.6
29,Washington,7.8,8.3,12.0,9.3,6.8
30,Golden State,7.8,7.7,7.0,8.3,7.4
