Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,40.9%,35.8%,28.2%,41.1%,40.7%
2,Milwaukee,40.8%,38.5%,33.3%,42.9%,38.1%
3,Washington,38.2%,40.9%,50.0%,36.9%,39.2%
4,Chicago,37.9%,32.1%,40.0%,36.9%,38.7%
5,Phoenix,37.9%,35.0%,33.3%,39.2%,36.2%
6,Minnesota,37.8%,36.2%,45.9%,35.6%,39.6%
7,Denver,37.8%,43.1%,51.2%,34.5%,41.0%
8,Philadelphia,37.4%,34.5%,36.0%,37.5%,37.3%
9,Atlanta,37.2%,35.8%,34.9%,35.2%,38.4%
10,New York,37.0%,39.2%,52.0%,39.9%,33.4%
11,Toronto,37.0%,32.6%,19.2%,39.7%,34.6%
12,Miami,36.8%,27.4%,27.8%,35.3%,38.3%
13,Golden State,36.4%,34.8%,27.9%,37.0%,36.0%
14,LA Clippers,36.4%,38.5%,37.1%,39.9%,33.7%
15,San Antonio,36.0%,35.5%,33.3%,38.7%,31.6%
16,Okla City,35.8%,45.5%,26.9%,33.4%,38.3%
17,Sacramento,35.8%,32.2%,35.3%,38.1%,33.4%
18,Boston,35.7%,41.8%,46.5%,35.8%,35.6%
19,Orlando,35.5%,40.0%,38.2%,34.5%,36.6%
20,Detroit,35.4%,39.6%,30.6%,34.7%,36.1%
21,Charlotte,34.9%,30.9%,30.2%,36.5%,33.5%
22,Cleveland,34.8%,34.4%,29.2%,34.4%,35.3%
23,New Orleans,34.4%,37.4%,42.2%,34.0%,35.0%
24,LA Lakers,33.9%,34.3%,44.8%,33.6%,34.0%
25,Brooklyn,33.6%,33.9%,29.2%,32.4%,34.6%
26,Utah,33.5%,35.1%,30.6%,37.2%,28.7%
27,Memphis,33.1%,35.7%,45.9%,33.6%,32.5%
28,Portland,32.3%,31.0%,25.0%,31.2%,33.1%
29,Dallas,31.8%,33.6%,30.0%,33.1%,29.0%
30,Indiana,31.3%,34.7%,33.3%,33.2%,29.8%
