Rank,Team,2026,Last 3,Last 1,Home,Away
1,Golden State,50.6%,51.3%,52.4%,50.7%,50.5%
2,Cleveland,49.0%,48.7%,55.2%,48.2%,49.9%
3,Brooklyn,48.0%,47.1%,55.2%,48.1%,47.9%
4,Boston,46.6%,41.5%,49.4%,46.4%,46.9%
5,Charlotte,45.5%,48.0%,50.6%,45.6%,45.4%
6,New York,45.0%,38.0%,28.4%,46.4%,43.4%
7,Portland,45.0%,48.8%,41.4%,43.0%,46.5%
8,Utah,44.7%,41.9%,36.4%,46.7%,42.3%
9,Phoenix,44.5%,43.7%,46.2%,43.5%,45.8%
10,Memphis,43.7%,40.8%,38.1%,46.9%,40.2%
11,LA Clippers,43.5%,41.4%,43.2%,44.4%,42.8%
12,Chicago,42.9%,50.4%,61.0%,41.5%,44.2%
13,Milwaukee,42.7%,46.0%,44.2%,42.8%,42.5%
14,Okla City,42.6%,39.8%,32.1%,45.8%,39.8%
15,Minnesota,41.8%,44.1%,46.3%,40.3%,42.9%
16,San Antonio,41.7%,39.8%,32.7%,44.2%,38.2%
17,Atlanta,41.3%,43.5%,45.3%,41.7%,41.1%
18,Philadelphia,40.5%,43.0%,30.5%,39.2%,42.3%
19,Indiana,40.5%,40.7%,42.3%,41.3%,39.9%
20,Washington,40.2%,43.2%,45.2%,39.1%,41.0%
21,Dallas,40.1%,43.8%,41.2%,40.0%,40.4%
22,LA Lakers,39.3%,38.5%,33.3%,38.5%,39.8%
23,Denver,38.2%,42.1%,47.3%,38.6%,37.9%
24,Miami,38.2%,34.3%,42.4%,37.3%,39.3%
25,Orlando,37.9%,36.7%,33.7%,37.8%,38.0%
26,New Orleans,37.6%,37.0%,44.6%,37.4%,37.7%
27,Toronto,36.4%,34.8%,28.9%,36.6%,36.2%
28,Detroit,35.5%,35.7%,38.7%,37.0%,34.2%
29,Sacramento,35.2%,32.8%,39.5%,37.0%,33.6%
30,Houston,33.7%,37.9%,39.4%,33.6%,33.8%
