Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,61.6,56.0,66.0,62.7,60.8
2,Dallas,57.3,54.3,61.0,58.2,55.3
3,Portland,56.4,57.7,62.0,58.1,55.1
4,Detroit,56.3,54.3,65.0,58.8,54.4
5,Utah,55.8,53.7,58.0,57.3,54.0
6,Indiana,55.7,48.3,54.0,56.3,55.2
7,Miami,55.6,59.7,53.0,55.8,55.4
8,Cleveland,55.5,50.0,40.0,54.9,56.4
9,Boston,55.3,47.0,50.0,51.3,60.4
10,Okla City,55.3,49.7,54.0,51.6,58.7
11,Charlotte,54.9,47.3,45.0,52.2,57.7
12,Memphis,54.8,56.0,53.0,54.9,54.7
13,Orlando,54.5,52.0,57.0,54.7,54.2
14,Denver,54.5,53.0,54.0,56.5,52.7
14,Philadelphia,54.5,52.7,44.0,53.5,55.9
14,Chicago,54.5,53.0,41.0,56.8,52.4
17,San Antonio,54.4,56.7,64.0,52.6,57.0
18,New York,54.2,49.0,53.0,55.6,52.6
19,Minnesota,53.8,57.3,60.0,56.4,51.8
20,Phoenix,53.3,53.3,56.0,53.4,53.1
21,New Orleans,52.7,58.3,46.0,53.6,51.5
22,Toronto,51.4,54.7,59.0,51.1,51.6
23,Washington,51.0,48.3,48.0,50.3,51.5
24,LA Lakers,50.6,51.7,47.0,51.0,50.4
25,Golden State,50.6,50.7,54.0,51.0,50.3
26,Brooklyn,50.3,53.3,59.0,49.6,50.9
27,Milwaukee,49.9,48.0,55.0,46.5,54.6
28,Atlanta,49.7,49.3,54.0,47.9,50.8
29,LA Clippers,48.6,45.3,39.0,46.9,49.9
30,Sacramento,48.4,49.7,48.0,48.4,48.3
