Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,123.0%,124.4%,128.0%,120.4%,125.5%
2,LA Lakers,122.7%,127.2%,135.9%,125.6%,120.6%
3,Okla City,120.3%,130.8%,114.1%,119.8%,120.7%
4,San Antonio,119.4%,113.1%,101.9%,123.6%,113.9%
5,Toronto,118.9%,109.0%,94.3%,118.4%,119.3%
6,Milwaukee,118.6%,112.6%,101.3%,123.9%,111.4%
7,Atlanta,118.4%,113.6%,110.1%,114.0%,121.0%
8,Minnesota,118.3%,107.6%,107.6%,117.2%,119.2%
9,LA Clippers,118.1%,123.7%,127.7%,124.3%,113.5%
10,Orlando,118.0%,124.9%,126.0%,117.4%,118.6%
11,Chicago,117.7%,113.7%,133.7%,116.7%,118.7%
12,New York,117.2%,128.0%,133.6%,119.1%,114.9%
13,Phoenix,116.7%,107.1%,111.4%,119.6%,112.8%
14,Golden State,116.7%,118.3%,108.7%,120.0%,114.4%
15,Miami,116.5%,108.6%,112.2%,115.0%,118.2%
16,Houston,116.2%,105.8%,94.2%,115.3%,117.0%
17,Detroit,115.7%,121.2%,103.5%,113.1%,117.8%
18,Cleveland,115.0%,116.3%,106.3%,116.3%,113.4%
19,Philadelphia,115.0%,111.1%,111.4%,115.2%,114.7%
20,Charlotte,114.7%,113.1%,104.8%,116.5%,113.1%
21,Washington,113.5%,121.0%,137.0%,111.3%,115.1%
22,Boston,113.5%,122.7%,118.9%,115.9%,110.3%
23,Utah,113.4%,111.5%,108.8%,119.3%,106.3%
24,Sacramento,112.3%,113.9%,110.2%,109.9%,114.4%
25,Brooklyn,111.8%,114.2%,99.7%,109.0%,114.4%
26,Portland,111.4%,104.7%,100.7%,109.6%,112.7%
27,Memphis,110.1%,113.9%,128.3%,112.6%,107.3%
28,New Orleans,109.4%,114.7%,121.0%,110.2%,108.4%
29,Dallas,108.4%,105.2%,97.5%,110.1%,104.4%
30,Indiana,104.5%,111.7%,106.8%,109.7%,100.2%
