Rank,Team,2026,Last 3,Last 1,Home,Away
1,Boston,11.2,10.3,13.0,9.5,13.3
2,Okla City,12.7,12.3,9.0,12.6,12.8
3,New York,13.1,13.3,15.0,12.9,13.4
4,Denver,13.6,14.0,14.0,12.8,14.4
5,Toronto,13.8,12.7,13.0,13.4,14.2
6,Memphis,14.0,13.3,16.0,13.5,14.6
7,Miami,14.3,13.7,14.0,14.1,14.4
7,Cleveland,14.3,13.3,12.0,14.5,13.9
9,Indiana,14.4,14.7,18.0,14.0,14.7
10,Sacramento,14.4,12.7,19.0,15.7,13.3
10,Milwaukee,14.4,14.7,14.0,14.1,14.9
12,Orlando,14.7,11.3,12.0,16.0,13.2
13,Brooklyn,14.7,14.3,10.0,15.3,14.2
14,Atlanta,14.8,11.7,19.0,15.6,14.3
15,Houston,14.8,14.0,10.0,12.6,16.6
16,Chicago,14.8,15.0,17.0,14.0,15.6
17,Detroit,14.8,14.7,13.0,16.6,13.4
18,Philadelphia,15.0,16.7,21.0,14.8,15.3
19,New Orleans,15.3,15.7,15.0,15.5,14.9
20,Minnesota,15.3,18.0,16.0,15.8,15.0
21,San Antonio,15.4,13.0,9.0,15.2,15.6
22,LA Clippers,15.7,14.0,16.0,16.3,15.3
23,Charlotte,15.9,14.7,17.0,16.3,15.6
24,LA Lakers,16.0,14.0,11.0,15.3,16.5
25,Phoenix,16.3,14.7,17.0,16.5,16.1
26,Golden State,16.4,13.3,16.0,12.8,18.8
27,Washington,16.6,15.3,13.0,15.7,17.2
28,Portland,16.6,17.0,18.0,17.0,16.4
29,Dallas,16.9,15.3,16.0,17.2,16.2
30,Utah,17.1,18.7,14.0,17.6,16.6
