Rank,Team,2026,Last 3,Last 1,Home,Away
1,Boston,11.2%,10.4%,12.9%,9.5%,13.3%
2,Okla City,12.1%,12.0%,8.8%,12.1%,12.2%
3,New York,12.7%,13.3%,14.4%,12.5%,13.0%
4,Miami,13.0%,13.0%,13.7%,12.8%,13.3%
5,Denver,13.3%,14.1%,14.2%,12.2%,14.2%
6,Toronto,13.3%,12.4%,12.5%,13.1%,13.5%
7,Memphis,13.4%,13.2%,14.6%,12.9%,14.0%
8,Indiana,13.5%,14.1%,17.3%,12.9%,14.0%
9,Cleveland,13.5%,13.1%,11.7%,14.1%,12.8%
10,Sacramento,13.7%,12.2%,19.0%,14.8%,12.8%
11,Chicago,13.8%,13.5%,15.1%,13.2%,14.2%
12,Milwaukee,13.9%,14.5%,13.7%,13.5%,14.3%
13,Orlando,14.1%,11.0%,11.1%,15.4%,12.7%
14,Detroit,14.2%,14.3%,12.9%,15.5%,13.0%
15,Atlanta,14.2%,11.5%,18.0%,15.0%,13.7%
16,Philadelphia,14.3%,15.3%,19.4%,14.3%,14.2%
17,Houston,14.6%,14.5%,10.5%,12.4%,16.2%
18,Brooklyn,14.6%,14.7%,10.5%,15.1%,14.1%
19,Minnesota,14.7%,16.9%,15.7%,15.0%,14.4%
20,New Orleans,14.8%,14.6%,13.7%,15.0%,14.5%
21,San Antonio,14.9%,12.7%,8.6%,14.9%,14.9%
22,Charlotte,15.4%,14.5%,16.4%,16.2%,14.7%
23,LA Lakers,15.5%,13.3%,11.0%,14.7%,16.1%
24,Washington,15.5%,14.5%,12.3%,14.5%,16.3%
25,LA Clippers,15.6%,14.1%,16.0%,16.3%,15.0%
26,Portland,15.6%,16.8%,17.2%,15.8%,15.4%
27,Dallas,15.7%,14.9%,15.2%,15.9%,15.3%
28,Golden State,15.8%,13.1%,16.8%,12.5%,17.9%
29,Phoenix,15.8%,14.8%,17.0%,16.0%,15.5%
30,Utah,16.0%,17.5%,13.1%,15.9%,16.0%
