Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1.0,Tyrese Maxey,25.0,PHI,PG,15.0,15.0,610.0,0.473,0.51,0.421,0.56,0.878,0.618,0.35,0.413,101.0,93.0,117.0,103.0,111.0,106.0,123.0,99.0,12.0,29.3
2.0,Franz Wagner,24.0,ORL,SF,16.0,16.0,568.0,0.454,0.503,0.333,0.502,0.835,0.578,0.465,0.288,97.0,92.0,93.0,92.0,106.0,99.0,163.0,69.0,-21.3,-2.8
3.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,0.407,0.433,0.366,0.477,0.737,0.503,0.176,0.38,87.0,79.0,102.0,88.0,93.0,86.0,62.0,91.0,-28.5,-37.0
4.0,Shai Gilgeous-Alexander,27.0,OKC,PG,16.0,16.0,535.0,0.529,0.585,0.385,0.583,0.897,0.654,0.446,0.278,113.0,107.0,107.0,107.0,114.0,112.0,157.0,66.0,26.0,56.4
5.0,Trey Murphy III,25.0,NOP,SF,15.0,15.0,534.0,0.468,0.57,0.381,0.571,0.943,0.62,0.243,0.541,100.0,104.0,106.0,105.0,120.0,106.0,85.0,129.0,12.3,18.0
6.0,Devin Booker,29.0,PHO,SG,15.0,15.0,530.0,0.493,0.553,0.345,0.543,0.903,0.614,0.39,0.29,105.0,101.0,96.0,100.0,114.0,105.0,137.0,69.0,0.2,21.4
7.0,Miles Bridges,27.0,CHO,PF,15.0,15.0,529.0,0.423,0.485,0.363,0.515,0.897,0.566,0.257,0.509,90.0,89.0,101.0,95.0,114.0,97.0,90.0,122.0,-14.7,-9.4
8.0,Dyson Daniels,22.0,ATL,SG,16.0,16.0,528.0,0.485,0.522,0.2,0.496,0.591,0.508,0.169,0.115,104.0,95.0,56.0,91.0,75.0,87.0,59.0,28.0,-12.1,-20.7
9.0,DeMar DeRozan,36.0,SAC,PF,16.0,16.0,526.0,0.493,0.517,0.371,0.523,0.865,0.584,0.347,0.164,105.0,95.0,104.0,96.0,110.0,100.0,122.0,39.0,-8.2,1.1
10.0,Desmond Bane,27.0,ORL,SG,16.0,16.0,525.0,0.429,0.483,0.329,0.487,0.925,0.539,0.235,0.35,92.0,88.0,92.0,90.0,117.0,93.0,82.0,84.0,-25.3,-21.3
11.0,Toumani Camara,25.0,POR,PF,15.0,15.0,519.0,0.396,0.545,0.301,0.488,0.714,0.505,0.124,0.609,85.0,100.0,84.0,90.0,90.0,87.0,44.0,146.0,-18.5,-27.6
12.0,Evan Mobley,24.0,CLE,PF,15.0,15.0,515.0,0.472,0.531,0.348,0.528,0.604,0.555,0.453,0.325,101.0,97.0,97.0,97.0,77.0,95.0,159.0,78.0,-6.1,-14.1
13.0,Deni Avdija,25.0,POR,SF,15.0,15.0,510.0,0.485,0.553,0.376,0.558,0.832,0.623,0.458,0.388,104.0,101.0,105.0,103.0,105.0,107.0,161.0,93.0,7.7,25.3
14.0,Ryan Rollins,23.0,MIL,PG,16.0,15.0,505.0,0.511,0.556,0.443,0.6,0.8,0.62,0.158,0.398,109.0,102.0,124.0,110.0,101.0,106.0,56.0,95.0,25.1,17.7
15.0,Cooper Flagg,19.0,DAL,PG,15.0,15.0,505.0,0.455,0.521,0.293,0.497,0.783,0.534,0.232,0.293,97.0,95.0,82.0,92.0,99.0,92.0,82.0,70.0,-17.9,-21.1
16.0,Kon Knueppel,20.0,CHO,SF,15.0,14.0,502.0,0.473,0.58,0.403,0.595,0.886,0.624,0.171,0.605,101.0,106.0,113.0,110.0,112.0,107.0,60.0,145.0,21.5,18.4
17.0,Lauri Markkanen,28.0,UTA,PF,14.0,14.0,502.0,0.485,0.566,0.385,0.571,0.885,0.625,0.319,0.449,104.0,104.0,108.0,105.0,112.0,107.0,112.0,107.0,17.2,29.3
18.0,James Harden,36.0,LAC,PG,14.0,14.0,501.0,0.44,0.514,0.382,0.547,0.913,0.632,0.473,0.56,94.0,94.0,107.0,101.0,116.0,109.0,166.0,134.0,2.2,29.1
19.0,Brandon Ingram,28.0,TOR,SF,15.0,15.0,499.0,0.496,0.568,0.302,0.537,0.878,0.593,0.319,0.272,106.0,104.0,84.0,99.0,111.0,102.0,112.0,65.0,-2.9,5.9
20.0,Devin Vassell,25.0,SAS,SG,15.0,15.0,498.0,0.407,0.468,0.359,0.508,0.8,0.531,0.137,0.566,87.0,86.0,100.0,94.0,101.0,91.0,48.0,135.0,-12.6,-19.7
21.0,Julius Randle,31.0,MIN,PF,15.0,15.0,496.0,0.524,0.59,0.37,0.579,0.833,0.639,0.439,0.297,112.0,108.0,103.0,107.0,106.0,110.0,154.0,71.0,17.9,33.2
