Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Tyrese Maxey,25,PHI,PG,15,15,610,100,0,0,0,0,4.8,17.7,21,15,13,3,44,3,288,9,15
2,Franz Wagner,24,ORL,SF,16,16,568,0,0,59,41,0,4.4,0.4,13,13,23,1,51,10,145,5,16
3,VJ Edgecombe,20,PHI,SG,15,15,560,12,85,3,0,0,2.5,3.0,14,11,30,1,17,1,154,3,10
4,Shai Gilgeous-Alexander,27,OKC,PG,16,16,535,100,0,0,0,0,19.2,13.6,18,6,14,2,65,1,269,18,10
5,Trey Murphy III,25,NOP,SF,15,15,534,0,17,66,18,0,-14.7,-5.1,19,11,15,2,22,7,111,4,11
6,Devin Booker,29,PHO,SG,15,15,530,11,63,26,1,0,5.4,-2.2,27,22,18,4,45,6,263,13,15
7,Miles Bridges,27,CHO,PF,15,15,529,0,0,5,95,0,-5.4,-6.5,18,4,14,0,25,0,138,0,8
8,Dyson Daniels,22,ATL,SG,16,16,528,0,49,50,1,0,7.3,16.5,17,13,21,2,13,5,221,4,8
9,DeMar DeRozan,36,SAC,PF,16,16,526,0,0,21,78,1,-15.7,-5.9,10,2,20,2,33,6,141,11,9
10,Desmond Bane,27,ORL,SG,16,16,525,4,88,9,0,0,2.2,-6.8,18,7,22,8,17,1,175,5,18
11,Toumani Camara,25,POR,PF,15,15,519,0,0,2,75,23,-2.8,-3.3,27,4,24,1,10,24,101,1,12
12,Evan Mobley,24,CLE,PF,15,15,515,0,0,0,42,58,4.8,2.3,15,22,27,1,46,0,153,10,8
13,Deni Avdija,25,POR,SF,15,15,510,0,21,70,9,0,1.6,11.8,21,24,35,4,59,1,195,13,16
14,Ryan Rollins,23,MIL,PG,16,15,505,88,12,0,0,0,1.4,7.3,25,13,26,0,14,0,228,3,16
15,Cooper Flagg,19,DAL,PG,15,15,505,21,77,2,0,0,-13.9,-19.2,14,11,20,1,21,2,118,6,12
16,Kon Knueppel,20,CHO,SF,15,14,502,0,7,81,13,0,-3.4,0.9,18,15,17,2,17,0,118,4,8
17,Lauri Markkanen,28,UTA,PF,14,14,502,0,0,22,68,10,-1.8,14.7,8,9,18,2,34,2,73,10,14
18,James Harden,36,LAC,PG,14,14,501,45,54,1,0,0,-5.4,4.4,38,13,12,3,51,1,281,11,14
19,Brandon Ingram,28,TOR,SF,15,15,499,0,2,79,20,0,-0.1,-14.9,17,15,22,4,36,0,144,11,18
20,Devin Vassell,25,SAS,SG,15,15,498,18,66,15,0,0,10.4,12.1,11,3,14,3,12,2,90,3,4
21,Julius Randle,31,MIN,PF,15,15,496,0,0,1,96,3,12.6,14.9,18,12,16,4,50,0,230,17,12
22,Andrew Wiggins,30,MIA,SF,15,15,496,0,29,45,26,0,-0.4,-11.8,10,16,30,2,17,2,104,4,11
23,Derrick White,31,BOS,SG,15,15,493,6,86,8,0,0,5.5,0.6,12,7,16,1,20,11,195,7,13
24,Scottie Barnes,24,TOR,PF,15,15,491,0,0,4,86,10,5.3,2.4,20,5,24,5,25,3,182,8,7
25,Mikal Bridges,29,NYK,SF,14,14,491,0,12,45,43,0,5.0,-3.8,8,3,12,0,11,2,179,4,3
26,Pascal Siakam,31,IND,PF,14,14,490,0,5,63,31,0,-8.8,9.5,13,7,20,9,52,3,173,11,6
27,Brandin Podziemski,22,GSW,SG,17,8,487,6,58,29,7,0,0.6,0.9,9,7,14,3,13,10,128,1,5
28,Wendell Carter Jr.,26,ORL,C,16,16,486,0,0,0,0,100,2.7,-4.4,10,7,29,8,27,3,79,5,9
29,Max Christie,22,DAL,SG,16,13,484,1,37,62,1,0,-3.9,7.7,10,4,19,3,12,3,96,2,7
30,Dennis Schröder,32,SAC,PG,16,12,483,100,0,0,0,0,-16.6,-7.2,19,10,14,2,16,7,222,4,15
31,Nikola Jokić,30,DEN,C,14,14,483,0,0,0,0,100,17.4,21.4,32,11,18,4,36,1,356,6,6
32,Payton Pritchard,28,BOS,PG,15,15,482,100,0,0,0,0,6.8,4.6,11,7,13,1,16,2,184,3,9
33,Duncan Robinson,31,DET,SF,15,15,482,2,44,42,12,0,6.0,-2.1,6,3,24,1,5,5,67,0,4
34,Keyonte George,22,UTA,PG,14,14,482,91,9,0,0,0,-8.2,-7.7,23,16,7,6,46,4,235,7,18
35,Jaylen Brown,29,BOS,SF,15,15,481,0,7,82,11,0,2.4,-9.0,17,20,21,9,48,2,155,14,12
36,Alperen Şengün,23,HOU,C,13,13,480,0,0,0,37,63,13.9,9.6,24,13,24,5,41,6,232,9,17
37,Myles Turner,29,MIL,C,16,16,478,0,0,0,0,100,2.9,10.6,6,7,27,5,18,1,74,3,7
38,Quentin Grimes,25,PHI,SG,15,0,477,0,44,56,0,0,5.5,10.7,15,18,16,2,27,5,153,5,6
39,Immanuel Quickley,26,TOR,PG,15,15,477,92,8,0,0,0,4.6,0.2,18,2,11,2,20,10,218,6,14
40,Donovan Mitchell,29,CLE,SG,14,14,477,39,42,19,0,0,7.9,10.4,26,16,12,3,36,1,182,7,6
41,RJ Barrett,25,TOR,SF,15,15,476,0,59,38,4,0,0.7,-11.2,14,3,25,1,38,2,136,12,19
42,Rudy Gobert,33,MIN,C,15,15,475,0,0,0,0,100,12.4,12.8,12,8,17,7,21,1,61,5,4
43,Rui Hachimura,27,LAL,PF,14,14,475,0,0,47,50,3,1.4,-4.4,7,3,11,5,15,1,41,2,6
44,Ivica Zubac,28,LAC,C,15,15,473,0,0,0,0,100,-6.4,0.7,12,9,22,6,17,1,77,6,13
45,Jalen Johnson,24,ATL,SF,14,14,472,0,0,7,93,0,0.8,-3.4,25,12,17,5,31,3,220,9,11
46,Kevin Durant,37,HOU,SF,13,13,470,0,35,61,3,0,11.7,0.8,18,16,17,4,37,0,101,10,5
47,Onyeka Okongwu,25,ATL,C,16,6,469,0,0,0,12,88,0.0,-5.2,9,6,32,8,26,1,103,8,10
48,Jimmy Butler,36,GSW,SF,15,15,469,0,16,47,37,0,5.9,13.1,15,7,10,1,54,0,183,11,9
49,Zach LaVine,30,SAC,SG,14,14,469,10,57,29,5,0,-20.3,-16.2,16,11,16,1,27,0,72,6,5
50,Amen Thompson,23,HOU,SF,13,13,466,21,69,10,0,0,14.8,12.1,14,9,14,1,24,0,170,10,18
51,Karl-Anthony Towns,30,NYK,C,14,14,465,0,0,0,0,100,8.1,7.0,8,9,23,18,48,2,113,14,17
52,P.J. Washington,27,DAL,PF,15,15,463,0,0,6,81,14,-6.5,1.1,21,12,20,2,34,2,86,11,11
53,Donte DiVincenzo,29,MIN,SG,15,15,461,37,61,2,0,0,11.1,8.8,11,9,17,2,9,5,132,4,2
54,Jaime Jaquez Jr.,24,MIA,SF,15,0,459,0,19,40,41,0,11.2,20.7,13,9,17,3,26,0,192,9,9
55,A.J. Green,26,MIL,SG,16,16,458,2,97,1,0,0,3.8,12.2,6,5,22,2,4,8,70,0,1
56,Davion Mitchell,27,MIA,PG,15,15,455,100,0,0,0,0,1.2,-5.9,16,7,21,1,11,9,278,2,6
57,Isaiah Hartenstein,27,OKC,C,16,16,454,0,0,0,0,100,16.0,2.6,15,5,16,10,23,2,120,8,6
