PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,13,7,6,0.538,94.57333333333334,11,27,0.407,10,24,0.417,3,5,0.6,0,8,8,7,5,0,0,0,7,6,35,14,50.1,0,0,60.0,88,116,307,237,85,149,136,300,22,23,133,220,204,278,354,160,222,140,107,349,243,1,287,153,129,93,212,125,15,173,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,8,0,8,0.0,37.63333333333333,2,11,0.182,0,2,0.0,3,4,0.75,2,3,5,4,1,0,0,4,3,3,7,-13,18.0,0,0,16.0,270,430,384,430,305,367,293,441,332,335,332,220,230,193,181,323,303,222,298,349,243,440,140,245,362,367,359,125,15,363,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,10,7,3,0.7,70.4,11,28,0.393,3,10,0.3,5,5,1.0,2,9,11,4,7,3,0,1,11,5,30,24,51.2,2,0,54.0,210,116,147,108,182,149,128,325,166,160,226,154,204,1,181,140,162,222,57,84,243,215,407,184,164,46,205,51,15,189,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,8,8,0,1.0,43.218333333333334,8,14,0.571,5,10,0.5,8,9,0.889,0,3,3,6,3,1,1,0,4,5,29,1,44.6,0,0,47.0,270,62,1,1,277,210,253,83,95,160,51,98,111,109,354,323,359,162,175,240,129,1,187,184,173,216,231,125,15,216,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,9,1,8,0.111,66.6,11,28,0.393,5,17,0.294,5,8,0.625,6,3,9,3,2,1,0,1,6,11,32,25,48.3,0,0,51.0,244,365,384,414,190,149,128,325,95,74,231,154,128,269,57,323,203,260,227,240,243,215,252,67,154,40,217,125,15,199,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,62.56666666666667,8,23,0.348,2,12,0.167,0,0,0.0,3,4,7,5,2,0,1,0,7,1,18,24,34.9,0,0,34.0,244,62,36,48,203,210,166,371,199,129,302,347,359,347,134,272,249,189,227,349,129,1,287,334,256,46,288,125,15,285,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,10,3,7,0.3,61.76166666666666,9,23,0.391,0,7,0.0,2,2,1.0,5,5,10,6,0,3,0,1,10,3,20,-16,50.0,0,0,42.0,210,260,355,332,205,189,166,327,332,221,332,253,282,1,78,234,183,162,380,84,243,215,384,245,242,385,214,125,15,238,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,7,3,4,0.429,36.791666666666664,1,3,0.333,0,0,0.0,4,5,0.8,5,2,7,0,1,1,6,0,3,5,6,24,34.4,0,0,27.0,301,260,208,291,310,415,410,374,332,408,332,187,204,170,78,356,249,405,298,240,7,1,140,184,377,46,292,125,15,315,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,2,2,0,1.0,6.433333333333334,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,1,6,-5,6.0,0,0,6.0,421,299,1,1,442,367,431,1,332,408,332,253,282,1,354,425,438,405,380,349,243,1,86,334,377,290,438,125,15,440,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,16,15,1,0.938,143.83166666666668,32,74,0.432,5,17,0.294,22,23,0.957,4,18,22,18,11,11,2,3,8,22,91,-4,172.4,1,0,162.0,1,1,36,36,3,7,3,270,95,74,231,19,31,87,104,35,45,23,15,3,68,393,322,12,9,274,6,81,15,8,1
