Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
1.0,Tyrese Maxey,25.0,PHI,PG,15.0,15.0,610.0,0.473,15.5,0.587,0.194,0.214,0.097,0.083,0.413,0.51,0.662,0.44,0.471,0.379,0.421,0.4,0.705,0.02,6.0,0.083,0.417,0.0,0.0
2.0,Franz Wagner,24.0,ORL,SF,16.0,16.0,568.0,0.454,11.3,0.712,0.281,0.323,0.073,0.035,0.288,0.503,0.726,0.357,0.316,0.444,0.333,0.516,0.84,0.027,7.0,0.133,0.4,0.0,0.0
3.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,0.407,13.7,0.62,0.236,0.231,0.088,0.065,0.38,0.433,0.549,0.38,0.316,0.357,0.366,0.517,0.967,0.088,15.0,0.134,0.273,0.0,0.0
4.0,Shai Gilgeous-Alexander,27.0,OKC,PG,16.0,16.0,535.0,0.529,13.9,0.722,0.183,0.168,0.272,0.098,0.278,0.585,0.767,0.491,0.573,0.438,0.385,0.167,0.229,0.009,3.0,0.044,0.5,0.0,0.0
5.0,Trey Murphy III,25.0,NOP,SF,15.0,15.0,534.0,0.468,17.0,0.459,0.193,0.174,0.073,0.018,0.541,0.57,0.786,0.368,0.5,0.5,0.381,0.632,0.822,0.096,19.0,0.059,0.429,0.0,0.0
6.0,Devin Booker,29.0,PHO,SG,15.0,15.0,530.0,0.493,15.0,0.71,0.124,0.193,0.238,0.155,0.29,0.553,0.778,0.5,0.522,0.489,0.345,0.325,0.655,0.007,2.0,0.083,0.286,0.0,0.0
7.0,Miles Bridges,27.0,CHO,PF,15.0,15.0,529.0,0.423,15.8,0.491,0.147,0.272,0.049,0.023,0.509,0.485,0.667,0.417,0.385,0.333,0.363,0.492,0.918,0.045,9.0,0.281,0.395,0.0,0.0
8.0,Dyson Daniels,22.0,ATL,SG,16.0,16.0,528.0,0.485,6.9,0.885,0.362,0.469,0.054,0.0,0.115,0.522,0.681,0.393,0.571,,0.2,0.533,1.0,0.077,10.0,0.267,0.25,0.0,0.0
9.0,DeMar DeRozan,36.0,SAC,PF,16.0,16.0,526.0,0.493,13.8,0.836,0.108,0.197,0.315,0.216,0.164,0.517,0.696,0.643,0.448,0.413,0.371,0.511,1.0,0.005,0.0,0.514,0.5,0.0,0.0
10.0,Desmond Bane,27.0,ORL,SG,16.0,16.0,525.0,0.429,13.8,0.65,0.195,0.27,0.075,0.111,0.35,0.483,0.705,0.393,0.588,0.24,0.329,0.535,0.654,0.0,0.0,0.228,0.389,0.0,0.0
11.0,Toumani Camara,25.0,POR,PF,15.0,15.0,519.0,0.396,16.7,0.391,0.213,0.16,0.012,0.006,0.609,0.545,0.75,0.333,0.0,0.0,0.301,0.806,0.839,0.059,9.0,0.282,0.345,0.0,0.0
12.0,Evan Mobley,24.0,CLE,PF,15.0,15.0,515.0,0.472,12.4,0.675,0.288,0.245,0.104,0.038,0.325,0.531,0.77,0.385,0.364,0.125,0.348,0.632,0.792,0.113,22.0,0.043,0.333,1.0,0.0
13.0,Deni Avdija,25.0,POR,SF,15.0,15.0,510.0,0.485,12.8,0.612,0.323,0.212,0.046,0.031,0.388,0.553,0.667,0.455,0.417,0.25,0.376,0.398,0.895,0.035,9.0,0.109,0.455,0.0,0.0
14.0,Ryan Rollins,23.0,MIL,PG,16.0,15.0,505.0,0.511,14.1,0.602,0.312,0.113,0.104,0.072,0.398,0.556,0.739,0.32,0.435,0.313,0.443,0.189,0.667,0.036,8.0,0.182,0.688,0.0,0.0
15.0,Cooper Flagg,19.0,DAL,PG,15.0,15.0,505.0,0.455,12.6,0.707,0.207,0.303,0.081,0.116,0.293,0.521,0.78,0.45,0.438,0.304,0.293,0.329,0.765,0.076,11.0,0.224,0.077,0.0,0.0
16.0,Kon Knueppel,20.0,CHO,SF,15.0,14.0,502.0,0.473,18.1,0.395,0.171,0.132,0.063,0.029,0.605,0.58,0.714,0.481,0.462,0.5,0.403,0.681,0.92,0.02,4.0,0.274,0.471,0.0,0.0
17.0,Lauri Markkanen,28.0,UTA,PF,14.0,14.0,502.0,0.485,15.1,0.551,0.169,0.259,0.086,0.037,0.449,0.566,0.745,0.513,0.538,0.182,0.385,0.777,0.923,0.09,26.0,0.185,0.56,0.0,0.0
18.0,James Harden,36.0,LAC,PG,14.0,14.0,501.0,0.44,17.7,0.44,0.148,0.206,0.062,0.025,0.56,0.514,0.75,0.34,0.6,0.333,0.382,0.073,0.423,0.0,0.0,0.044,0.5,0.0,0.0
19.0,Brandon Ingram,28.0,TOR,SF,15.0,15.0,499.0,0.496,14.3,0.728,0.151,0.142,0.259,0.177,0.272,0.568,0.771,0.455,0.55,0.512,0.302,0.469,0.895,0.03,5.0,0.27,0.353,0.0,0.0
20.0,Devin Vassell,25.0,SAS,SG,15.0,15.0,498.0,0.407,19.0,0.434,0.082,0.082,0.165,0.104,0.566,0.468,0.6,0.333,0.5,0.421,0.359,0.73,0.973,0.033,5.0,0.252,0.346,0.0,0.0
21.0,Julius Randle,31.0,MIN,PF,15.0,15.0,496.0,0.524,11.6,0.703,0.289,0.244,0.134,0.037,0.297,0.59,0.732,0.483,0.515,0.444,0.37,0.382,0.815,0.049,11.0,0.205,0.333,0.0,0.0
22.0,Andrew Wiggins,30.0,MIA,SF,15.0,15.0,496.0,0.481,13.4,0.644,0.245,0.207,0.115,0.077,0.356,0.545,0.706,0.419,0.5,0.438,0.365,0.479,0.926,0.034,6.0,0.284,0.381,0.0,0.0
23.0,Derrick White,31.0,BOS,SG,15.0,15.0,493.0,0.359,18.8,0.433,0.069,0.177,0.104,0.082,0.567,0.43,0.625,0.366,0.417,0.421,0.305,0.535,0.65,0.009,2.0,0.168,0.364,0.0,0.0
24.0,Scottie Barnes,24.0,TOR,PF,15.0,15.0,491.0,0.5,11.1,0.763,0.298,0.241,0.171,0.053,0.237,0.534,0.735,0.327,0.462,0.583,0.389,0.57,0.857,0.088,20.0,0.259,0.286,0.0,0.0
25.0,Mikal Bridges,29.0,NYK,SF,14.0,14.0,491.0,0.503,15.3,0.526,0.24,0.117,0.14,0.029,0.474,0.589,0.683,0.65,0.375,0.6,0.407,0.509,0.97,0.041,6.0,0.407,0.515,0.0,0.0
26.0,Pascal Siakam,31.0,IND,PF,14.0,14.0,490.0,0.459,13.7,0.711,0.147,0.252,0.218,0.094,0.289,0.503,0.538,0.612,0.414,0.36,0.351,0.411,0.704,0.008,1.0,0.065,0.4,0.0,0.0
27.0,Brandin Podziemski,22.0,GSW,SG,17.0,8.0,487.0,0.432,16.7,0.515,0.136,0.178,0.13,0.071,0.485,0.483,0.739,0.433,0.318,0.417,0.378,0.643,0.806,0.0,0.0,0.207,0.588,0.0,0.0
28.0,Wendell Carter Jr.,26.0,ORL,C,16.0,16.0,486.0,0.516,12.9,0.641,0.305,0.164,0.094,0.078,0.359,0.561,0.744,0.381,0.5,0.3,0.435,0.739,1.0,0.156,16.0,0.391,0.389,0.0,0.0
29.0,Max Christie,22.0,DAL,SG,16.0,13.0,484.0,0.475,17.1,0.369,0.156,0.177,0.035,0.0,0.631,0.5,0.773,0.32,0.2,,0.461,0.692,1.0,0.05,7.0,0.461,0.561,0.0,0.0
30.0,Dennis Schröder,32.0,SAC,PG,16.0,12.0,483.0,0.387,15.6,0.597,0.099,0.267,0.126,0.105,0.403,0.439,0.632,0.353,0.375,0.55,0.312,0.16,0.667,0.0,0.0,0.143,0.364,0.0,0.0
31.0,Nikola Jokić,30.0,DEN,C,14.0,14.0,483.0,0.641,11.2,0.726,0.257,0.359,0.076,0.034,0.274,0.733,0.82,0.671,0.667,0.875,0.4,0.579,0.923,0.034,7.0,0.046,0.667,0.0,0.0
32.0,Payton Pritchard,28.0,BOS,PG,15.0,15.0,482.0,0.441,20.3,0.401,0.069,0.104,0.149,0.079,0.599,0.605,0.643,0.762,0.567,0.438,0.331,0.143,0.85,0.0,0.0,0.058,0.286,0.0,0.0
33.0,Duncan Robinson,31.0,DET,SF,15.0,15.0,482.0,0.447,21.0,0.22,0.071,0.142,0.007,0.0,0.78,0.548,0.7,0.45,1.0,,0.418,0.706,0.978,0.0,0.0,0.182,0.45,0.0,0.0
34.0,Keyonte George,22.0,UTA,PG,14.0,14.0,482.0,0.427,15.8,0.59,0.06,0.312,0.12,0.098,0.41,0.522,0.786,0.521,0.464,0.435,0.292,0.444,0.714,0.021,5.0,0.135,0.308,0.0,0.0
35.0,Jaylen Brown,29.0,BOS,SF,15.0,15.0,481.0,0.503,14.5,0.723,0.168,0.206,0.142,0.206,0.277,0.563,0.827,0.422,0.432,0.578,0.349,0.365,0.567,0.019,3.0,0.07,0.333,0.0,0.0
36.0,Alperen Şengün,23.0,HOU,C,13.0,13.0,480.0,0.489,10.3,0.826,0.26,0.342,0.169,0.055,0.174,0.497,0.649,0.467,0.351,0.417,0.447,0.356,0.882,0.059,12.0,0.105,0.75,0.0,0.0
