Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Miami,65.2,57.3,49.0,64.0,66.6,55.7
2,Denver,62.4,60.3,62.0,64.3,60.6,59.8
3,Minnesota,61.9,64.0,71.0,64.1,59.3,54.9
4,New York,61.6,60.3,52.0,64.7,56.2,57.6
5,Philadelphia,61.6,52.3,55.0,59.4,64.1,55.2
6,Chicago,61.3,65.0,62.0,62.5,60.4,57.3
7,Houston,60.8,57.3,57.0,63.5,58.6,56.7
8,Charlotte,60.5,52.7,54.0,62.3,59.0,51.4
9,Portland,60.5,60.0,58.0,58.9,61.9,53.8
10,Orlando,60.4,61.0,61.0,59.2,62.0,53.0
11,Okla City,60.1,60.7,58.0,62.0,58.7,60.7
12,Atlanta,59.8,57.0,60.0,58.8,60.3,59.5
13,San Antonio,59.7,63.3,74.0,60.5,58.2,55.1
14,LA Lakers,59.7,65.7,67.0,62.8,57.6,58.9
15,Detroit,59.3,64.0,67.0,59.9,58.6,58.6
16,Phoenix,58.5,64.0,64.0,58.9,58.1,56.3
16,Toronto,58.5,57.3,53.0,60.0,57.8,54.6
18,Sacramento,57.9,52.0,47.0,54.3,60.8,57.9
19,Utah,57.8,66.3,71.0,66.9,48.7,54.5
20,Cleveland,57.6,51.0,40.0,54.6,61.6,61.1
21,Boston,57.5,64.0,62.0,60.0,55.4,58.7
22,LA Clippers,56.7,51.3,49.0,61.0,51.9,55.3
23,Memphis,56.7,61.0,75.0,60.2,52.1,60.7
24,Milwaukee,56.6,49.3,57.0,58.7,54.0,58.6
25,Washington,56.5,51.0,46.0,59.3,54.4,54.3
26,Brooklyn,56.4,60.7,61.0,54.9,57.9,53.5
27,New Orleans,54.9,54.3,58.0,55.9,53.7,53.9
28,Golden State,54.8,55.3,45.0,57.6,53.7,54.1
29,Indiana,53.6,56.3,70.0,56.3,51.3,56.9
30,Dallas,53.1,50.3,50.0,52.9,53.6,57.5
