Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Toronto,62.7,68.0,83.0,62.5,62.8,62.7
2,Denver,61.7,64.0,66.0,61.4,62.0,61.7
3,Cleveland,61.4,60.3,58.0,60.6,62.6,61.4
4,Houston,60.4,57.7,60.0,59.1,61.6,60.4
5,Phoenix,59.6,59.7,52.0,61.4,57.3,59.6
6,Portland,59.4,58.0,62.0,59.6,59.3,59.4
7,Okla City,59.2,63.0,77.0,57.3,60.6,59.2
8,New York,59.1,61.7,61.0,60.0,57.6,59.1
9,Milwaukee,59.1,53.0,49.0,61.1,56.6,59.1
10,Minnesota,59.1,57.3,64.0,55.4,62.8,59.1
11,Detroit,58.9,56.3,53.0,59.5,58.3,58.9
12,San Antonio,58.7,59.7,61.0,58.5,59.2,58.7
12,Chicago,58.7,60.7,55.0,59.1,58.4,58.7
14,Miami,58.6,64.7,73.0,59.8,57.4,58.6
15,LA Lakers,58.2,60.0,73.0,59.3,57.4,58.2
16,Golden State,58.1,51.7,51.0,57.3,58.5,58.1
17,Utah,58.0,55.0,44.0,59.6,56.1,58.0
17,Atlanta,58.0,63.7,66.0,53.8,60.5,58.0
19,Memphis,56.1,51.7,62.0,56.7,55.3,56.1
20,Dallas,55.9,60.7,69.0,58.0,51.0,55.9
21,Boston,55.9,53.7,52.0,58.1,53.8,55.9
22,Charlotte,55.7,54.7,64.0,50.9,60.0,55.7
23,Orlando,55.6,56.3,68.0,55.2,56.0,55.6
24,Washington,55.5,59.7,63.0,50.5,58.9,55.5
25,Indiana,55.0,59.0,54.0,56.7,53.7,55.0
26,Philadelphia,54.8,57.0,51.0,57.0,52.3,54.8
27,New Orleans,53.4,55.0,52.0,52.5,54.3,53.4
28,Brooklyn,53.1,51.7,51.0,54.4,52.0,53.1
29,Sacramento,53.1,49.7,49.0,56.0,50.8,53.1
30,LA Clippers,53.0,57.7,52.0,53.5,52.4,53.0
