Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New York,33.1,35.0,28.0,34.0,31.4,29.3
2,Chicago,32.2,34.7,34.0,31.5,32.8,29.0
3,Portland,31.6,27.3,29.0,30.9,32.3,27.3
4,Miami,31.3,27.7,20.0,31.8,30.9,27.8
5,San Antonio,30.7,34.3,46.0,31.4,29.2,27.6
6,Philadelphia,30.6,23.7,22.0,30.0,31.3,27.7
7,Denver,30.1,32.7,36.0,30.9,29.4,29.1
8,Minnesota,30.0,31.0,37.0,30.5,29.4,27.4
8,Detroit,30.0,34.3,32.0,31.1,28.7,29.2
10,Phoenix,29.7,35.0,29.0,30.8,28.6,27.5
10,LA Lakers,29.7,35.0,40.0,33.2,27.4,28.7
12,Okla City,29.6,25.3,31.0,32.1,27.7,30.1
13,Orlando,29.3,29.0,31.0,27.9,31.0,25.9
14,Atlanta,29.1,27.3,26.0,28.0,29.8,30.3
15,Sacramento,28.8,28.3,25.0,24.6,32.1,29.3
16,Memphis,28.6,30.7,40.0,32.3,23.7,29.8
17,New Orleans,28.5,27.0,28.0,28.6,28.3,27.2
18,Brooklyn,28.1,29.7,32.0,25.9,30.4,26.8
19,Indiana,27.9,27.0,32.0,29.3,26.8,28.7
20,Toronto,27.9,26.3,20.0,31.6,26.0,27.3
21,Houston,27.8,25.0,24.0,29.7,26.3,28.3
22,Charlotte,27.8,23.7,21.0,27.4,28.1,26.4
23,Utah,27.3,32.3,35.0,29.9,24.7,26.9
24,LA Clippers,27.3,22.3,25.0,29.8,24.4,27.8
25,Boston,27.2,30.7,33.0,29.4,25.3,28.7
26,Cleveland,27.1,26.7,21.0,25.9,28.7,30.0
27,Golden State,27.1,23.3,25.0,27.2,27.1,27.5
28,Washington,26.8,22.3,17.0,28.8,25.3,26.7
29,Milwaukee,26.8,25.7,37.0,28.3,24.7,28.8
30,Dallas,25.3,25.3,25.0,24.9,26.0,29.0
