Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Denver,33.0,32.0,35.0,33.4,32.6,30.7
2,Toronto,32.0,37.0,44.0,30.2,32.9,28.3
3,Cleveland,31.8,28.3,30.0,30.7,33.3,30.6
4,Chicago,31.8,34.7,36.0,33.3,30.6,31.0
5,New York,31.7,32.7,35.0,32.6,30.2,28.8
6,Okla City,31.6,31.0,25.0,30.1,32.7,30.2
7,Phoenix,31.3,36.3,36.0,33.4,28.9,28.8
8,Minnesota,30.7,28.7,23.0,28.4,33.4,29.4
9,Washington,30.5,33.3,36.0,29.0,31.6,26.8
10,Memphis,30.3,33.7,38.0,30.4,30.0,31.8
11,LA Lakers,30.2,31.3,37.0,30.2,30.2,26.9
12,Golden State,29.9,26.0,29.0,30.4,29.7,29.9
13,Milwaukee,29.8,31.0,24.0,31.3,27.9,28.9
14,Utah,29.6,30.3,22.0,31.9,27.3,28.4
15,Houston,29.1,28.0,17.0,29.0,29.1,29.5
16,Portland,28.7,25.0,24.0,26.9,30.4,29.4
17,Atlanta,28.7,26.7,32.0,28.2,29.0,29.2
18,Miami,28.7,29.0,23.0,28.5,28.9,27.6
19,San Antonio,28.6,28.7,21.0,28.2,29.4,30.3
20,Dallas,28.4,28.3,35.0,29.4,26.2,28.3
21,Detroit,28.3,27.7,27.0,27.9,28.9,28.8
22,Charlotte,28.1,26.3,30.0,24.1,31.6,26.7
23,LA Clippers,27.8,30.0,27.0,28.3,27.3,29.0
24,Indiana,27.5,31.7,34.0,27.3,27.8,29.7
25,Sacramento,27.4,24.7,29.0,28.1,26.8,29.0
26,Orlando,27.1,27.7,32.0,26.6,27.9,25.7
27,Boston,26.9,29.0,27.0,28.6,25.4,28.9
28,Brooklyn,26.9,26.3,24.0,27.3,26.4,25.7
29,New Orleans,24.4,23.7,25.0,24.3,24.6,27.7
30,Philadelphia,24.3,25.0,22.0,25.8,22.7,27.3
