Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,31.3,32.0,31.0,30.1,32.4,26.8
2,Portland,30.7,33.3,33.0,32.7,29.1,27.2
3,Detroit,30.6,28.7,26.0,31.6,29.4,26.9
4,Philadelphia,30.5,32.0,29.0,31.3,29.6,26.6
5,San Antonio,30.1,31.0,40.0,30.3,29.8,28.3
6,Toronto,29.7,28.0,35.0,29.3,29.9,27.5
6,Miami,29.7,37.0,41.0,31.3,28.1,25.6
8,Atlanta,29.3,37.0,34.0,25.7,31.5,28.5
8,Milwaukee,29.3,22.0,25.0,29.8,28.7,26.8
10,Boston,29.3,27.7,28.0,30.1,28.4,26.6
11,Cleveland,29.2,26.7,20.0,29.2,29.3,29.7
12,Phoenix,29.1,29.0,33.0,29.7,28.4,27.7
12,New Orleans,29.1,31.3,30.0,28.3,30.0,27.9
14,Utah,29.1,30.0,24.0,29.3,28.9,28.4
15,Denver,28.7,31.3,32.0,28.0,29.3,26.9
16,Golden State,28.5,25.3,26.0,27.8,28.8,28.3
17,Orlando,28.4,28.7,36.0,28.7,28.1,26.1
18,Minnesota,28.2,26.3,31.0,27.0,29.4,28.4
19,LA Lakers,28.0,28.7,36.0,29.2,27.2,26.6
20,Charlotte,27.6,28.3,34.0,26.7,28.4,26.7
21,Indiana,27.6,29.3,28.0,29.4,26.1,28.9
22,Chicago,27.5,27.7,32.0,27.3,27.8,28.7
23,New York,27.4,29.0,26.0,27.4,27.4,27.2
24,Dallas,27.1,29.7,33.0,28.1,24.8,28.2
25,Okla City,27.0,28.3,34.0,27.1,26.9,27.8
26,Brooklyn,26.1,23.3,21.0,27.1,25.1,25.4
27,Memphis,25.8,18.0,24.0,26.2,25.3,28.0
28,Sacramento,25.7,25.0,20.0,27.9,24.0,27.7
29,LA Clippers,25.2,27.7,25.0,25.3,25.1,27.4
30,Washington,25.1,27.3,33.0,21.5,27.4,26.6
