Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New York,2.246,2.412,3.0,2.224,2.284,1.954
2,Toronto,2.148,1.891,2.2,2.118,2.162,1.862
3,Denver,2.141,2.073,1.75,2.489,1.832,2.057
4,Boston,2.141,2.297,1.25,2.828,1.726,2.114
5,Miami,2.068,2.282,2.143,2.195,1.935,1.916
6,Chicago,2.043,2.5,2.25,2.167,1.959,1.964
7,Memphis,2.013,2.514,5.25,2.073,1.941,1.768
8,Okla City,2.005,1.625,1.375,2.178,1.868,2.186
9,Atlanta,1.98,1.846,1.875,1.65,2.205,1.919
10,Cleveland,1.895,1.353,1.667,1.795,2.031,2.107
11,Milwaukee,1.874,1.652,2.143,2.016,1.705,1.892
12,Detroit,1.812,1.935,1.867,1.609,2.111,1.734
13,Minnesota,1.793,1.95,2.8,1.635,2.0,1.763
14,Philadelphia,1.772,1.818,2.143,1.857,1.682,1.702
15,Sacramento,1.769,1.489,1.412,1.685,1.841,1.975
16,San Antonio,1.764,2.714,3.091,1.901,1.506,2.063
17,Utah,1.747,1.98,1.833,1.974,1.525,1.482
18,Phoenix,1.697,1.435,1.333,1.667,1.732,1.975
19,Houston,1.69,2.0,1.769,2.056,1.48,1.662
20,Brooklyn,1.667,2.222,1.786,1.554,1.8,1.658
21,Indiana,1.642,1.377,2.0,1.768,1.534,2.129
22,Charlotte,1.626,1.591,2.154,1.588,1.661,1.569
23,Orlando,1.624,2.455,2.909,1.452,1.879,1.629
24,Golden State,1.597,1.355,1.043,2.387,1.381,2.018
25,LA Lakers,1.579,1.577,1.824,1.656,1.53,1.837
26,Portland,1.553,1.604,1.688,1.517,1.586,1.491
27,Washington,1.496,1.732,1.471,1.515,1.482,1.613
28,New Orleans,1.487,1.236,2.083,1.516,1.453,1.764
29,LA Clippers,1.473,1.356,0.952,1.615,1.306,1.722
30,Dallas,1.394,1.302,1.278,1.373,1.444,1.805
