Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Utah,0.725,0.681,0.789,0.737,0.709,0.633
2,Memphis,0.723,0.756,0.84,0.716,0.733,0.631
3,Atlanta,0.709,0.706,0.612,0.699,0.714,0.682
4,Golden State,0.696,0.699,0.725,0.702,0.692,0.705
5,Chicago,0.69,0.71,0.703,0.691,0.689,0.671
6,New York,0.685,0.621,0.659,0.655,0.743,0.613
7,Toronto,0.685,0.686,0.75,0.677,0.69,0.685
8,Miami,0.681,0.718,0.745,0.679,0.682,0.651
9,Brooklyn,0.661,0.746,0.721,0.662,0.66,0.669
10,Denver,0.653,0.636,0.7,0.698,0.612,0.67
11,Charlotte,0.645,0.598,0.651,0.677,0.619,0.635
12,Cleveland,0.642,0.593,0.651,0.643,0.641,0.624
13,San Antonio,0.636,0.693,0.708,0.678,0.555,0.685
14,Sacramento,0.631,0.603,0.649,0.648,0.619,0.614
15,Phoenix,0.63,0.541,0.641,0.603,0.667,0.673
16,Dallas,0.62,0.606,0.75,0.625,0.609,0.603
17,Philadelphia,0.62,0.656,0.714,0.636,0.602,0.584
18,LA Lakers,0.619,0.621,0.62,0.607,0.628,0.634
19,Orlando,0.619,0.643,0.711,0.602,0.639,0.599
20,Indiana,0.619,0.644,0.676,0.616,0.621,0.666
21,Detroit,0.618,0.664,0.622,0.613,0.623,0.613
22,Milwaukee,0.617,0.655,0.667,0.612,0.626,0.607
23,Washington,0.609,0.605,0.667,0.598,0.617,0.637
24,Minnesota,0.606,0.584,0.462,0.608,0.605,0.633
25,Portland,0.606,0.641,0.738,0.622,0.594,0.587
26,LA Clippers,0.604,0.56,0.556,0.636,0.562,0.608
27,Okla City,0.597,0.652,0.706,0.641,0.566,0.592
28,New Orleans,0.582,0.555,0.595,0.589,0.574,0.636
29,Boston,0.578,0.6,0.571,0.586,0.57,0.619
30,Houston,0.571,0.508,0.512,0.547,0.595,0.548
