Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Atlanta,30.4,32.0,30.0,27.5,32.2,29.5
2,Miami,30.3,29.7,30.0,31.0,29.6,26.3
3,Chicago,30.2,35.0,36.0,30.3,30.1,28.9
4,Toronto,30.1,29.0,33.0,28.8,30.7,28.5
5,Utah,29.6,33.7,33.0,33.0,26.1,25.5
6,New York,29.4,27.3,27.0,28.7,30.6,26.1
7,Denver,29.2,28.3,35.0,32.0,26.4,29.8
8,Memphis,28.4,31.0,42.0,28.6,28.3,28.0
9,San Antonio,27.4,31.7,34.0,28.9,24.4,28.6
10,Golden State,27.1,28.0,24.0,29.6,26.0,28.4
11,Cleveland,27.0,23.0,20.0,26.3,27.9,27.6
12,Milwaukee,26.9,25.3,30.0,28.0,25.6,25.4
13,Detroit,26.9,29.7,28.0,26.8,27.1,26.0
13,Phoenix,26.9,22.0,24.0,26.3,27.7,27.8
15,Minnesota,26.5,26.0,28.0,25.8,27.4,25.8
16,Charlotte,26.3,23.3,28.0,27.0,25.8,24.3
17,LA Lakers,26.0,27.3,31.0,26.5,25.7,25.7
18,Sacramento,25.9,23.3,24.0,26.0,25.8,26.4
19,Philadelphia,25.9,26.7,30.0,26.0,25.7,23.2
20,Houston,25.6,22.7,23.0,24.7,26.4,23.0
21,Okla City,25.6,26.0,22.0,28.0,23.7,25.9
22,Portland,25.5,25.7,27.0,25.6,25.4,23.8
23,Washington,25.2,23.7,25.0,24.5,25.8,25.1
24,Orlando,24.9,27.0,32.0,23.6,26.6,22.8
25,Brooklyn,24.6,26.7,25.0,24.9,24.4,25.2
26,Boston,24.3,28.3,25.0,25.9,22.9,25.4
27,Dallas,23.9,23.0,23.0,24.1,23.4,25.3
28,LA Clippers,23.7,20.3,20.0,26.3,20.7,25.2
29,Indiana,23.5,24.3,32.0,25.0,22.3,28.6
30,New Orleans,22.8,22.7,25.0,23.5,22.0,25.8
