Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Atlanta,0.291,0.307,0.286,0.264,0.306,0.277
2,Toronto,0.288,0.275,0.325,0.281,0.292,0.275
3,New York,0.283,0.253,0.257,0.279,0.291,0.259
4,Chicago,0.282,0.304,0.322,0.29,0.277,0.272
5,Denver,0.281,0.268,0.326,0.306,0.256,0.288
6,Miami,0.276,0.272,0.278,0.278,0.273,0.263
7,Utah,0.275,0.29,0.301,0.296,0.252,0.245
8,Memphis,0.271,0.298,0.403,0.271,0.271,0.262
9,San Antonio,0.265,0.309,0.325,0.283,0.231,0.279
10,Phoenix,0.26,0.21,0.218,0.255,0.265,0.275
11,Golden State,0.259,0.266,0.222,0.29,0.247,0.279
12,Milwaukee,0.257,0.242,0.271,0.267,0.245,0.248
13,Detroit,0.256,0.289,0.274,0.25,0.264,0.25
14,Minnesota,0.255,0.248,0.282,0.245,0.266,0.256
15,Cleveland,0.254,0.221,0.202,0.253,0.256,0.267
16,Charlotte,0.253,0.228,0.266,0.269,0.24,0.24
17,LA Lakers,0.253,0.263,0.282,0.253,0.252,0.255
18,Houston,0.249,0.219,0.232,0.242,0.255,0.225
19,Philadelphia,0.247,0.256,0.271,0.255,0.239,0.229
20,Sacramento,0.246,0.225,0.23,0.245,0.247,0.258
21,Okla City,0.244,0.254,0.211,0.267,0.225,0.25
22,Boston,0.243,0.288,0.258,0.258,0.23,0.256
23,Brooklyn,0.243,0.268,0.258,0.244,0.242,0.251
24,Orlando,0.238,0.255,0.3,0.226,0.254,0.23
25,Washington,0.236,0.234,0.251,0.224,0.244,0.24
26,Portland,0.236,0.227,0.241,0.237,0.235,0.231
27,LA Clippers,0.234,0.2,0.187,0.263,0.201,0.25
28,New Orleans,0.223,0.215,0.233,0.228,0.216,0.251
29,Dallas,0.221,0.207,0.219,0.22,0.222,0.246
30,Indiana,0.22,0.227,0.304,0.229,0.211,0.276
