Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,7.4,6.7,-1.0,11.7,4.3,7.4
2,Houston,5.9,3.7,3.0,5.3,6.4,5.9
3,Minnesota,4.9,9.7,-13.0,10.4,-0.6,4.9
4,Denver,4.5,0.7,-3.0,9.6,0.0,4.5
4,San Antonio,4.5,8.0,14.0,7.9,-2.4,4.5
6,Orlando,4.3,9.3,12.0,4.1,4.4,4.3
7,New York,4.1,2.7,2.0,7.8,-2.4,4.1
8,Miami,4.0,8.7,18.0,6.1,1.9,4.0
9,Philadelphia,3.1,-3.0,-2.0,2.8,3.6,3.1
10,Atlanta,2.8,-9.3,-14.0,2.7,2.8,2.8
11,Phoenix,2.7,5.7,13.0,7.9,-4.0,2.7
12,Toronto,2.6,4.0,10.0,5.8,0.7,2.6
13,Detroit,2.3,12.7,13.0,3.3,1.1,2.3
14,Boston,1.3,2.0,-9.0,4.6,-2.1,1.3
15,Chicago,0.1,-5.0,-18.0,-0.7,0.8,0.1
16,LA Lakers,-0.1,13.3,-4.0,1.5,-1.2,-0.1
17,Portland,-0.5,-4.7,-7.0,-0.1,-0.8,-0.5
18,Charlotte,-0.7,-8.0,-16.0,5.3,-6.0,-0.7
19,Golden State,-1.1,-1.3,7.0,4.2,-3.7,-1.1
20,LA Clippers,-1.2,-5.3,-12.0,2.0,-4.9,-1.2
21,Cleveland,-1.8,-2.7,7.0,-3.9,1.1,-1.8
22,Memphis,-2.4,11.0,28.0,1.7,-7.6,-2.4
23,Milwaukee,-3.6,-10.3,2.0,-1.7,-6.0,-3.6
24,Utah,-3.7,-1.3,1.0,2.8,-11.1,-3.7
25,Indiana,-5.0,-2.3,-7.0,-1.0,-8.1,-5.0
26,Sacramento,-5.5,-14.7,-28.0,-8.1,-3.4,-5.5
26,New Orleans,-5.5,-1.0,14.0,-6.0,-5.0,-5.5
28,Dallas,-5.8,-11.0,-14.0,-5.2,-7.4,-5.8
29,Brooklyn,-7.1,6.0,9.0,-8.7,-5.8,-7.1
30,Washington,-9.2,-15.0,-10.0,-5.7,-11.6,-9.2
