Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,8.6,14.3,33.0,5.9,10.5,8.6
2,Denver,6.9,1.7,6.0,6.3,7.5,6.9
3,Cleveland,6.2,7.0,4.0,6.6,5.6,6.2
4,Detroit,4.3,-2.0,-5.0,3.0,5.9,4.3
5,Houston,4.3,-1.3,-6.0,5.6,3.0,4.3
6,Toronto,3.9,9.7,20.0,2.3,4.8,3.9
7,Boston,3.1,1.0,1.0,1.6,4.6,3.1
8,LA Lakers,2.8,4.0,18.0,1.8,3.4,2.8
9,Phoenix,2.6,-0.3,-12.0,4.0,0.7,2.6
10,San Antonio,2.3,2.7,-5.0,0.0,7.0,2.3
11,New York,1.7,0.0,0.0,4.4,-3.2,1.7
12,Milwaukee,1.7,-1.7,-2.0,3.4,-0.6,1.7
12,Miami,1.7,8.7,18.0,1.4,2.0,1.7
14,Minnesota,1.2,1.7,12.0,-1.9,4.3,1.2
15,Golden State,0.7,-7.3,-11.0,7.5,-2.8,0.7
16,Dallas,-0.2,3.3,17.0,1.0,-3.0,-0.2
17,Orlando,-0.4,2.7,16.0,0.7,-1.9,-0.4
18,Portland,-0.6,0.0,11.0,-0.7,-0.4,-0.6
19,Atlanta,-0.7,4.3,5.0,-6.3,2.7,-0.7
20,Philadelphia,-1.8,0.7,2.0,-0.6,-3.1,-1.8
21,Charlotte,-2.0,0.0,7.0,-5.7,1.3,-2.0
22,Chicago,-2.4,-5.7,-18.0,-0.1,-4.4,-2.4
23,Memphis,-2.6,-3.3,13.0,-0.3,-5.6,-2.6
24,Brooklyn,-3.2,-0.3,-1.0,-4.7,-1.9,-3.2
25,Utah,-3.9,-14.0,-33.0,-3.5,-4.4,-3.9
26,LA Clippers,-5.3,-5.7,-16.0,-3.5,-7.4,-5.3
27,New Orleans,-6.8,-8.0,-17.0,-5.5,-8.0,-6.8
28,Indiana,-7.4,-3.3,-4.0,-4.0,-10.1,-7.4
29,Washington,-7.5,-6.3,-20.0,-14.2,-3.1,-7.5
30,Sacramento,-7.9,-8.0,-13.0,-7.0,-8.7,-7.9
