Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,6.3,10.7,6.0,4.3,7.9,3.1
2,Denver,6.0,1.7,10.0,5.0,7.0,2.5
3,Cleveland,5.3,4.7,13.0,5.7,4.9,0.3
4,Phoenix,3.8,12.0,15.0,6.9,0.3,-1.7
5,Houston,2.4,-0.7,-13.0,3.5,1.4,2.1
6,New York,1.9,-0.3,0.0,3.7,-1.2,1.2
7,Toronto,1.8,7.3,18.0,0.0,2.7,-1.1
8,Golden State,1.6,2.3,6.0,6.4,-0.3,1.4
9,Detroit,1.3,-3.3,-1.0,0.5,2.3,0.3
10,Milwaukee,1.3,3.7,2.0,2.6,-0.3,0.6
11,Chicago,1.2,6.0,12.0,4.2,-1.0,1.0
12,Washington,1.0,8.0,13.0,-2.2,3.4,-4.0
13,LA Lakers,0.8,3.0,15.0,-1.8,2.6,-1.3
14,Boston,0.7,-0.3,3.0,0.6,0.9,2.6
15,Miami,0.4,-1.7,-6.0,-0.5,1.4,-0.9
15,Minnesota,0.4,-1.3,-13.0,-1.5,2.6,1.3
17,Memphis,-0.3,4.3,9.0,0.8,-1.6,2.2
18,Orlando,-0.4,0.0,5.0,0.7,-1.7,-0.3
19,Atlanta,-0.8,-1.7,11.0,-3.2,0.7,-0.7
20,Utah,-0.8,1.0,-15.0,0.3,-1.9,-3.1
21,San Antonio,-0.9,-4.0,-11.0,-2.3,2.0,0.0
22,Portland,-1.3,-8.3,-12.0,-4.7,1.8,-0.1
23,Dallas,-1.5,-5.7,0.0,-0.5,-3.6,-1.4
24,Charlotte,-1.8,-5.0,-4.0,-6.9,2.6,-1.8
25,Brooklyn,-2.4,-1.3,-3.0,-2.7,-2.1,-2.7
26,LA Clippers,-2.7,1.3,-5.0,-1.5,-4.0,1.8
27,Sacramento,-3.9,-5.7,-9.0,-3.0,-4.6,0.5
28,Indiana,-5.2,-1.7,4.0,-3.3,-6.9,0.0
29,New Orleans,-6.9,-8.0,-10.0,-6.3,-7.7,-3.0
30,Philadelphia,-7.5,-6.7,-2.0,-7.8,-7.3,-1.6
