Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,14.6,20.3,22.0,16.0,13.7,14.6
2,Denver,10.4,2.0,2.0,14.6,6.8,10.4
3,Houston,7.7,-0.3,-2.0,7.6,7.9,7.7
4,Minnesota,6.1,15.0,1.0,8.9,3.4,6.1
5,New York,6.1,2.3,2.0,11.4,-3.6,6.1
6,Toronto,5.4,15.0,28.0,8.8,3.4,5.4
7,Phoenix,5.4,11.7,-1.0,12.4,-3.7,5.4
8,Miami,4.9,8.7,27.0,5.6,4.3,4.9
9,Cleveland,3.9,6.3,19.0,2.4,6.0,3.9
10,Orlando,3.9,9.3,17.0,4.8,2.7,3.9
11,San Antonio,3.6,4.0,3.0,5.6,-0.4,3.6
11,Detroit,3.6,9.3,12.0,3.8,3.4,3.6
13,Atlanta,2.0,-11.0,-3.0,-0.5,3.5,2.0
14,Boston,1.6,-2.0,-15.0,4.4,-1.3,1.6
15,LA Lakers,0.7,16.3,11.0,-0.3,1.3,0.7
16,Chicago,0.6,-0.3,-27.0,1.6,-0.3,0.6
17,Golden State,0.3,-1.0,3.0,8.8,-4.0,0.3
18,Portland,-1.4,-12.3,-3.0,-4.9,1.2,-1.4
19,Milwaukee,-2.3,-6.7,4.0,0.9,-6.3,-2.3
20,Charlotte,-2.5,-13.0,-20.0,-1.6,-3.4,-2.5
21,Memphis,-2.6,15.3,37.0,2.4,-9.1,-2.6
22,LA Clippers,-3.9,-4.0,-17.0,0.5,-8.9,-3.9
23,Philadelphia,-4.4,-9.7,-4.0,-5.0,-3.7,-4.4
24,Utah,-6.0,-12.3,-22.0,0.1,-13.0,-6.0
25,Dallas,-6.4,-11.3,0.0,-4.5,-11.0,-6.4
26,Brooklyn,-9.0,7.0,15.0,-11.4,-6.9,-9.0
27,Sacramento,-9.4,-20.3,-37.0,-11.1,-8.0,-9.4
28,Washington,-9.5,-16.7,-28.0,-7.8,-10.6,-9.5
29,Indiana,-10.6,-5.7,-19.0,-4.3,-15.6,-10.6
30,New Orleans,-12.9,-13.0,0.0,-12.3,-13.5,-12.9
