Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,16.4,21.0,32.0,17.7,15.4,11.6
2,Denver,11.0,2.3,3.0,15.9,6.8,2.6
3,Houston,10.4,3.7,-3.0,11.4,9.3,4.2
4,San Antonio,7.1,10.7,9.0,7.9,5.4,-2.8
5,Detroit,6.7,10.7,8.0,6.5,7.0,1.7
6,Toronto,6.5,13.7,30.0,8.2,5.5,-4.3
7,Minnesota,6.1,11.3,-1.0,8.5,3.6,4.6
8,New York,5.9,2.7,2.0,12.2,-5.6,3.4
9,Miami,5.8,17.3,36.0,7.8,3.9,-0.5
10,Phoenix,5.0,5.3,1.0,11.9,-3.9,-3.0
11,Boston,4.4,3.0,-8.0,6.3,2.5,8.7
12,Cleveland,4.2,4.3,11.0,2.7,6.4,9.7
13,Orlando,3.6,10.7,28.0,4.8,2.0,-0.6
14,LA Lakers,2.7,17.3,14.0,3.3,2.2,0.7
15,Philadelphia,2.3,0.7,9.0,2.1,2.4,-6.2
16,Atlanta,2.1,-5.0,-9.0,-3.7,5.5,-1.5
17,Golden State,-0.1,-8.7,-4.0,12.7,-6.4,2.5
18,Portland,-1.4,-4.7,4.0,-0.9,-1.8,-3.0
19,Milwaukee,-1.6,-15.0,-9.0,2.2,-6.6,2.1
20,Chicago,-2.5,-10.7,-36.0,-0.9,-4.0,-1.8
21,Charlotte,-3.6,-8.0,-9.0,-0.4,-6.4,-9.1
22,Memphis,-5.0,7.7,41.0,1.3,-13.1,3.7
23,Dallas,-6.1,-7.7,3.0,-4.3,-10.4,-1.2
24,LA Clippers,-6.1,-11.0,-28.0,-1.5,-11.4,4.3
25,Utah,-7.2,-14.3,-32.0,0.1,-15.6,-9.3
26,Brooklyn,-10.3,5.7,8.0,-13.4,-7.6,-7.1
27,New Orleans,-12.5,-9.0,-3.0,-12.0,-13.0,-9.4
28,Indiana,-12.8,-5.7,-11.0,-5.9,-18.2,2.2
29,Sacramento,-13.4,-22.7,-41.0,-15.1,-12.1,0.3
30,Washington,-17.2,-21.3,-30.0,-20.7,-14.9,-12.4
