Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,6.4,5.3,6.0,6.5,6.3,4.5
2,Detroit,6.2,6.3,4.0,6.1,6.3,5.3
3,Dallas,6.1,6.0,5.0,6.5,5.0,5.5
4,Washington,5.8,4.7,6.0,6.0,5.6,5.1
5,Cleveland,5.8,6.3,5.0,6.1,5.3,4.2
6,Okla City,5.5,7.0,10.0,6.4,4.8,5.7
6,Orlando,5.5,5.3,4.0,5.0,6.1,5.9
8,Minnesota,5.5,5.3,4.0,5.9,5.0,4.9
9,Atlanta,5.4,4.7,6.0,5.8,5.1,5.1
10,Boston,5.3,6.3,5.0,4.3,6.3,5.5
10,LA Clippers,5.3,5.3,6.0,5.8,4.9,4.7
12,Chicago,5.3,7.7,9.0,5.5,5.1,4.7
13,San Antonio,5.2,3.7,4.0,4.7,6.2,5.5
14,Houston,5.2,4.7,4.0,4.8,5.4,5.0
15,Charlotte,4.9,5.3,2.0,5.3,4.6,4.5
16,Indiana,4.9,5.3,8.0,4.3,5.4,5.5
17,Phoenix,4.6,4.3,4.0,4.9,4.3,4.8
18,Portland,4.5,5.3,5.0,4.7,4.4,5.3
19,Milwaukee,4.5,2.3,2.0,4.3,4.7,4.6
20,Golden State,4.5,4.0,5.0,4.2,4.6,4.6
21,New York,4.4,6.3,10.0,3.9,5.4,4.1
22,Toronto,4.4,4.0,2.0,5.2,4.0,4.2
23,Memphis,4.1,4.0,3.0,4.9,3.1,5.6
24,Miami,4.0,4.3,3.0,4.4,3.6,3.9
25,Denver,3.8,4.0,1.0,3.7,3.9,4.8
26,Utah,3.7,4.3,2.0,5.1,2.3,4.4
27,Brooklyn,3.4,4.7,2.0,2.9,4.0,4.3
28,LA Lakers,3.3,3.3,1.0,3.0,3.6,4.5
29,Sacramento,3.3,2.7,5.0,3.3,3.2,4.3
30,New Orleans,3.1,4.3,5.0,3.0,3.1,5.2
