Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,1.012,1.017,1.055,0.997,1.022,1.037
2,Detroit,1.067,1.067,1.095,1.066,1.069,1.091
3,Miami,1.079,0.942,0.934,1.053,1.105,1.104
4,Dallas,1.079,1.075,1.065,1.074,1.092,1.123
5,Orlando,1.085,1.042,0.946,1.054,1.123,1.061
6,San Antonio,1.086,1.096,1.203,1.086,1.086,1.135
7,Cleveland,1.091,1.071,1.063,1.089,1.095,1.085
8,Minnesota,1.092,1.0,1.049,1.055,1.129,1.078
9,Denver,1.092,1.158,1.139,1.051,1.129,1.122
10,Boston,1.092,1.128,1.161,1.111,1.074,1.071
11,Phoenix,1.096,1.07,1.039,1.049,1.156,1.156
12,Houston,1.098,1.087,1.171,1.1,1.096,1.068
13,Toronto,1.098,1.06,1.038,1.104,1.095,1.109
14,Golden State,1.101,1.141,1.236,1.051,1.125,1.082
15,Atlanta,1.104,1.206,1.289,1.118,1.096,1.121
16,New York,1.109,1.104,1.058,1.093,1.137,1.102
17,Philadelphia,1.111,1.098,1.029,1.12,1.101,1.143
18,LA Lakers,1.119,1.041,1.148,1.133,1.109,1.11
19,Memphis,1.121,1.01,0.921,1.095,1.155,1.093
20,Portland,1.137,1.146,1.197,1.103,1.163,1.106
21,Milwaukee,1.137,1.147,1.11,1.148,1.124,1.102
22,Chicago,1.147,1.178,1.248,1.143,1.15,1.121
23,Indiana,1.15,1.164,1.17,1.117,1.177,1.105
24,Charlotte,1.156,1.125,1.207,1.132,1.175,1.126
25,LA Clippers,1.156,1.181,1.209,1.163,1.149,1.074
26,Utah,1.174,1.254,1.357,1.185,1.162,1.164
27,Sacramento,1.184,1.197,1.314,1.182,1.185,1.127
28,New Orleans,1.185,1.155,1.092,1.181,1.189,1.159
29,Brooklyn,1.187,1.087,1.079,1.203,1.173,1.119
30,Washington,1.212,1.259,1.321,1.208,1.216,1.152
