Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,New York,78.7%,75.9%,76.7%,77.1%,81.7%,74.6%
2,Charlotte,78.1%,74.4%,72.2%,75.4%,80.7%,74.5%
3,Okla City,77.1%,73.1%,75.0%,75.2%,78.4%,74.4%
4,San Antonio,77.1%,76.5%,84.6%,77.5%,76.2%,73.0%
5,Memphis,76.1%,85.4%,90.5%,76.2%,76.1%,74.8%
6,Orlando,75.8%,74.3%,79.6%,78.7%,71.9%,77.1%
7,Denver,75.8%,74.1%,65.3%,75.9%,75.5%,74.8%
8,Golden State,75.1%,72.5%,75.0%,74.6%,75.4%,74.9%
9,Chicago,74.7%,70.0%,54.4%,78.5%,72.2%,76.6%
10,Philadelphia,74.7%,84.4%,93.2%,73.8%,75.6%,71.8%
11,Utah,74.6%,75.9%,69.4%,72.8%,76.5%,74.1%
12,Houston,74.5%,75.0%,77.8%,72.2%,76.5%,76.2%
13,Sacramento,74.3%,76.2%,71.8%,74.7%,73.9%,76.9%
14,LA Lakers,74.2%,75.9%,78.9%,72.8%,75.1%,74.2%
15,Indiana,73.6%,66.9%,60.0%,75.6%,71.6%,74.3%
16,Dallas,73.3%,67.3%,71.4%,73.4%,73.3%,72.9%
17,Milwaukee,72.8%,78.2%,78.0%,72.4%,73.4%,76.7%
18,Cleveland,72.7%,76.1%,64.4%,74.0%,71.2%,75.2%
19,LA Clippers,72.4%,71.7%,73.3%,73.1%,71.8%,77.1%
20,Minnesota,72.4%,77.1%,72.1%,73.4%,71.2%,74.8%
20,Detroit,72.4%,68.1%,74.4%,72.1%,72.8%,76.0%
22,Toronto,72.1%,72.2%,59.0%,70.9%,72.8%,73.9%
23,Boston,71.7%,74.5%,76.5%,71.5%,71.9%,75.6%
24,Phoenix,71.6%,69.7%,65.1%,72.9%,70.0%,74.1%
25,Atlanta,71.4%,71.3%,76.7%,70.2%,72.0%,75.9%
26,Brooklyn,71.0%,82.0%,73.0%,70.0%,72.0%,75.0%
27,Portland,70.7%,71.9%,84.4%,73.3%,68.5%,72.5%
28,New Orleans,70.3%,67.8%,75.0%,65.9%,75.5%,72.7%
29,Miami,69.8%,66.7%,65.5%,67.5%,72.8%,75.8%
30,Washington,69.4%,65.2%,62.0%,69.0%,69.6%,71.9%
