Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chicago,36.3,34.0,31.0,35.3,37.3,35.7
2,Okla City,35.4,28.0,23.0,32.9,37.2,33.7
3,Denver,35.3,33.0,27.0,37.4,33.5,34.5
4,Miami,35.3,36.3,38.0,35.8,34.9,33.5
5,Dallas,35.3,36.3,36.0,35.8,34.0,32.9
6,San Antonio,34.3,34.7,33.0,34.4,34.0,32.7
7,Orlando,33.8,33.7,39.0,35.7,31.4,30.7
8,Memphis,33.7,37.0,38.0,34.1,33.1,34.4
9,Houston,33.1,33.0,23.0,31.9,34.4,33.8
10,Charlotte,33.1,30.0,26.0,32.9,33.4,33.0
11,Detroit,33.1,31.3,32.0,33.6,32.4,33.4
12,Utah,32.9,31.0,27.0,33.5,32.1,33.4
13,Minnesota,32.4,33.0,23.0,33.9,31.0,32.8
14,New York,32.4,33.7,33.0,32.6,32.2,31.6
15,Washington,32.4,27.7,22.0,31.5,33.0,33.1
16,Philadelphia,32.2,34.3,41.0,31.8,32.7,29.4
17,Indiana,32.2,29.7,33.0,35.4,29.7,32.6
18,Toronto,32.1,31.0,35.0,32.2,32.1,32.5
19,Atlanta,31.8,27.3,33.0,29.0,33.5,32.6
20,Milwaukee,31.6,31.0,39.0,32.0,31.1,35.1
21,LA Clippers,31.5,34.7,33.0,30.5,32.7,33.2
22,Cleveland,31.5,36.0,38.0,31.4,31.7,34.0
23,Golden State,31.5,31.7,23.0,31.7,31.4,32.2
24,LA Lakers,31.4,33.7,30.0,30.3,32.1,32.6
25,Boston,31.4,32.7,30.0,30.1,32.6,33.7
26,Phoenix,30.6,29.7,30.0,32.3,28.3,32.9
27,Sacramento,30.5,31.0,28.0,29.6,31.2,33.2
28,Portland,29.7,32.3,31.0,30.6,29.0,31.4
29,New Orleans,28.0,27.7,33.0,26.1,29.9,31.5
30,Brooklyn,27.9,32.7,34.0,27.3,28.4,30.4
