Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Milwaukee,58.2%,52.5%,56.5%,61.0%,54.7%,56.6%
2,LA Lakers,57.7%,60.8%,66.1%,58.7%,57.1%,55.5%
3,San Antonio,57.6%,60.6%,62.1%,58.6%,55.8%,54.4%
4,Denver,57.5%,57.2%,62.0%,56.4%,58.7%,56.5%
5,Minnesota,57.2%,52.2%,51.6%,55.3%,59.4%,55.2%
6,Toronto,56.9%,58.3%,60.1%,57.8%,56.4%,52.2%
7,Atlanta,56.7%,62.0%,67.8%,52.7%,59.1%,54.4%
8,Chicago,56.2%,56.4%,58.9%,57.4%,55.3%,55.2%
9,Phoenix,56.0%,57.7%,55.1%,58.7%,53.1%,56.1%
10,Miami,55.8%,51.7%,47.4%,55.0%,56.7%,54.4%
11,Houston,55.7%,51.7%,50.6%,54.7%,56.6%,52.2%
12,Okla City,55.2%,56.1%,52.3%,56.0%,54.6%,55.0%
13,LA Clippers,54.7%,50.2%,48.3%,59.1%,49.8%,55.4%
14,Cleveland,54.4%,56.8%,51.9%,54.7%,54.0%,57.5%
15,Golden State,54.3%,52.8%,42.6%,58.0%,52.8%,53.3%
16,New York,54.3%,52.6%,50.5%,56.1%,51.2%,55.0%
17,Detroit,54.3%,57.8%,60.2%,53.1%,55.7%,54.5%
18,Philadelphia,54.2%,53.5%,52.6%,54.5%,53.8%,52.7%
19,Orlando,53.7%,53.7%,57.4%,52.7%,55.0%,50.9%
20,Charlotte,53.7%,47.1%,46.3%,55.2%,52.4%,50.3%
21,Washington,53.4%,54.0%,56.8%,50.5%,55.7%,51.2%
22,Boston,53.4%,58.1%,62.0%,53.8%,53.0%,55.7%
23,Sacramento,53.1%,52.0%,53.1%,52.5%,53.6%,54.8%
24,Utah,52.4%,56.6%,59.2%,56.0%,48.4%,53.3%
25,Portland,52.0%,47.3%,46.7%,51.2%,52.7%,52.1%
26,Brooklyn,51.8%,53.4%,48.8%,51.2%,52.4%,51.6%
27,Dallas,50.8%,51.7%,50.6%,51.1%,50.1%,55.0%
28,New Orleans,50.7%,51.5%,48.5%,50.6%,50.9%,51.9%
29,Memphis,50.5%,49.1%,59.1%,51.8%,48.9%,55.1%
30,Indiana,47.3%,53.9%,63.5%,50.2%,44.8%,56.2%
