Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Orlando,0.366,0.322,0.255,0.363,0.369,0.268
2,LA Lakers,0.354,0.404,0.476,0.386,0.333,0.271
3,Dallas,0.332,0.35,0.333,0.348,0.296,0.263
4,Utah,0.313,0.294,0.304,0.334,0.287,0.252
5,Minnesota,0.308,0.325,0.384,0.334,0.282,0.25
6,Denver,0.307,0.309,0.355,0.281,0.332,0.261
7,Indiana,0.306,0.366,0.295,0.309,0.303,0.252
8,Detroit,0.305,0.274,0.289,0.295,0.318,0.254
9,Brooklyn,0.304,0.342,0.256,0.302,0.305,0.24
10,Houston,0.299,0.269,0.215,0.301,0.298,0.249
11,Toronto,0.295,0.31,0.47,0.298,0.294,0.232
12,Philadelphia,0.293,0.276,0.268,0.31,0.275,0.257
13,Cleveland,0.292,0.321,0.303,0.288,0.298,0.248
14,San Antonio,0.292,0.23,0.33,0.275,0.325,0.234
15,Portland,0.289,0.288,0.364,0.315,0.27,0.246
16,Golden State,0.288,0.305,0.361,0.28,0.292,0.245
17,Memphis,0.285,0.26,0.263,0.311,0.251,0.248
18,New Orleans,0.282,0.28,0.341,0.265,0.299,0.244
19,Miami,0.28,0.279,0.44,0.257,0.305,0.229
20,Charlotte,0.28,0.203,0.206,0.255,0.301,0.222
21,LA Clippers,0.278,0.296,0.213,0.259,0.298,0.25
22,Okla City,0.27,0.295,0.301,0.261,0.277,0.235
23,Atlanta,0.268,0.201,0.149,0.285,0.257,0.252
24,Sacramento,0.266,0.237,0.188,0.244,0.284,0.235
25,Chicago,0.265,0.212,0.311,0.283,0.249,0.214
26,New York,0.256,0.302,0.376,0.249,0.269,0.244
27,Phoenix,0.253,0.254,0.358,0.268,0.235,0.241
28,Milwaukee,0.239,0.196,0.141,0.237,0.242,0.266
29,Washington,0.237,0.225,0.279,0.23,0.242,0.229
30,Boston,0.199,0.213,0.156,0.187,0.211,0.219
