Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Orlando,24.027,22.977,19.679,24.456,23.478,24.027
2,LA Lakers,22.273,25.299,26.418,23.208,21.631,22.273
3,Utah,21.851,20.655,18.844,23.604,19.711,21.851
4,Denver,21.82,20.753,21.952,21.049,22.509,21.82
5,Houston,21.045,20.156,13.589,21.314,20.782,21.045
6,Indiana,20.704,24.236,23.395,20.528,20.846,20.704
7,Portland,20.587,19.715,26.284,21.54,19.841,20.587
8,Philadelphia,20.086,18.573,18.96,20.95,19.149,20.086
9,Memphis,19.995,17.316,19.187,21.792,17.659,19.995
10,Brooklyn,19.946,20.474,14.387,20.306,19.627,19.946
11,Dallas,19.891,20.386,20.368,21.09,16.899,19.891
12,Okla City,19.882,20.014,17.901,19.485,20.159,19.882
13,Charlotte,19.81,15.927,18.063,18.511,20.873,19.81
14,Minnesota,19.803,20.064,21.154,21.035,18.555,19.803
15,Golden State,19.746,20.084,25.31,18.746,20.23,19.746
16,Detroit,19.547,18.482,19.558,19.966,19.047,19.547
17,San Antonio,19.225,15.613,21.01,18.775,20.099,19.225
18,Toronto,19.221,19.913,28.312,18.759,19.494,19.221
19,LA Clippers,19.085,22.629,14.057,17.547,20.787,19.085
20,Cleveland,18.987,18.232,20.47,18.377,19.82,18.987
21,Miami,18.927,19.385,30.541,18.261,19.609,18.927
22,New Orleans,18.606,18.779,22.22,18.23,18.982,18.606
23,New York,18.474,18.508,18.106,19.229,17.142,18.474
24,Chicago,17.92,13.555,18.325,18.889,17.097,17.92
25,Phoenix,17.782,18.187,20.235,18.1,17.377,17.782
26,Atlanta,17.598,13.112,7.64,20.016,16.163,17.598
27,Sacramento,16.703,13.476,10.553,15.482,17.669,16.703
28,Washington,15.085,15.86,18.875,15.42,14.854,15.085
29,Boston,14.306,14.698,10.276,14.639,13.971,14.306
30,Milwaukee,14.155,11.789,9.028,14.399,13.839,14.155
