Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Toronto,21.3,17.7,17.0,19.2,22.5,18.1
2,Orlando,19.6,29.0,41.0,19.6,19.6,13.7
3,Miami,18.7,16.3,14.0,20.6,16.8,14.1
4,Dallas,18.1,14.7,19.0,17.3,19.8,15.0
5,Chicago,17.9,16.7,6.0,14.4,21.0,18.4
6,Atlanta,17.6,10.3,6.0,13.7,20.0,17.1
7,Detroit,17.5,14.3,17.0,15.6,19.7,18.4
8,San Antonio,17.4,13.3,19.0,16.0,20.2,16.2
9,Philadelphia,17.1,16.0,19.0,16.6,17.7,15.7
10,Washington,17.0,15.3,17.0,19.8,15.1,16.0
11,Denver,16.5,16.7,17.0,16.7,16.4,19.1
12,Portland,15.8,10.7,9.0,15.7,15.8,15.8
13,Cleveland,15.4,15.3,13.0,14.6,16.6,14.6
14,New Orleans,15.2,15.7,18.0,15.0,15.4,16.4
15,New York,15.0,15.0,16.0,16.2,12.8,15.0
15,Memphis,15.0,11.0,18.0,17.4,11.9,16.3
17,Utah,14.7,12.7,11.0,15.5,13.9,14.0
18,Phoenix,14.7,17.3,18.0,12.4,17.6,12.7
19,Milwaukee,14.6,11.0,10.0,17.1,11.3,13.2
20,Houston,14.5,12.3,15.0,15.1,13.9,16.4
21,Minnesota,14.4,13.3,6.0,13.3,15.6,13.4
22,Sacramento,14.2,11.7,8.0,13.7,14.6,14.3
22,Indiana,14.2,13.0,11.0,15.3,13.3,16.9
24,Golden State,13.9,11.7,11.0,14.7,13.5,14.1
25,Okla City,13.8,11.3,15.0,13.3,14.2,15.9
26,LA Lakers,12.7,16.3,15.0,12.3,13.0,14.7
27,Boston,12.6,12.0,6.0,13.9,11.4,11.8
28,Charlotte,12.2,9.3,13.0,10.4,13.8,11.8
29,LA Clippers,11.7,12.7,15.0,11.1,12.4,15.7
30,Brooklyn,10.1,14.7,13.0,11.9,8.5,14.3
