Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Portland,94.6,97.3,88.0,93.0,95.9,94.6
2,New York,93.6,97.0,93.0,93.6,93.6,93.6
3,Miami,93.4,99.0,100.0,95.4,91.4,93.4
4,Indiana,92.9,85.7,88.0,93.4,92.4,92.9
5,Boston,92.8,89.3,90.0,95.6,89.9,92.8
6,Cleveland,91.6,83.0,89.0,88.3,96.3,91.6
7,Houston,91.4,94.3,93.0,93.1,89.6,91.4
8,Chicago,91.2,96.0,90.0,89.4,92.8,91.2
9,Memphis,90.8,96.3,99.0,90.7,91.0,90.8
10,Detroit,90.6,87.7,83.0,93.5,87.3,90.6
11,Utah,90.5,94.0,79.0,93.5,87.1,90.5
12,Okla City,90.4,86.0,83.0,91.0,90.0,90.4
13,Washington,90.3,86.0,86.0,93.3,88.2,90.3
14,Philadelphia,89.9,89.3,97.0,87.1,93.1,89.9
15,Phoenix,89.7,92.0,81.0,87.1,93.0,89.7
16,Charlotte,89.5,96.7,107.0,85.7,92.8,89.5
17,New Orleans,89.0,91.7,91.0,89.8,88.3,89.0
18,Milwaukee,88.1,88.3,92.0,88.2,87.9,88.1
19,Toronto,88.0,85.0,83.0,86.8,88.7,88.0
19,Sacramento,88.0,84.3,80.0,89.4,86.9,88.0
21,Denver,87.9,85.3,76.0,92.0,84.3,87.9
22,Atlanta,87.6,86.3,87.0,87.2,87.8,87.6
23,Minnesota,87.4,92.3,86.0,88.0,86.8,87.4
24,Dallas,87.2,84.7,84.0,87.5,86.6,87.2
25,Golden State,86.4,85.3,83.0,87.0,86.1,86.4
26,San Antonio,86.3,88.3,91.0,85.2,88.6,86.3
27,Brooklyn,85.7,81.0,82.0,86.6,84.9,85.7
28,Orlando,85.3,90.0,94.0,84.4,86.3,85.3
29,LA Clippers,83.8,85.7,89.0,82.0,85.9,83.8
30,LA Lakers,82.2,81.7,84.0,83.3,81.4,82.2
