Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Denver,44.9,43.7,46.0,45.9,44.0,44.4
2,Miami,44.9,42.7,39.0,45.6,44.0,40.4
3,Houston,44.5,45.3,41.0,44.7,44.4,42.0
4,Toronto,44.2,45.7,45.0,43.6,44.5,41.6
5,Chicago,43.9,47.7,46.0,44.0,43.8,43.1
6,Milwaukee,43.6,38.7,45.0,45.8,40.9,41.8
7,Detroit,43.6,44.7,45.0,43.6,43.6,42.3
8,Okla City,43.4,43.0,41.0,43.7,43.2,43.7
9,Minnesota,43.1,42.3,42.0,42.4,44.0,40.8
10,San Antonio,43.1,45.7,48.0,42.6,44.0,41.8
11,Atlanta,42.9,45.3,49.0,39.3,45.1,43.2
12,New York,42.9,44.0,41.0,43.8,41.2,42.6
13,Phoenix,42.8,47.7,47.0,43.9,41.6,41.2
14,Portland,42.7,44.0,44.0,41.1,44.0,40.5
15,Cleveland,42.1,39.3,36.0,41.0,43.4,44.2
16,LA Lakers,42.0,44.0,50.0,43.7,40.9,40.6
17,Boston,41.9,44.3,37.0,44.0,40.1,41.0
18,Philadelphia,41.7,40.7,42.0,40.9,42.7,39.7
19,Washington,41.6,40.7,43.0,41.0,42.1,39.4
20,Utah,41.0,47.3,48.0,45.1,36.9,40.3
20,Sacramento,41.0,38.7,37.0,40.1,41.7,43.0
22,Charlotte,40.8,39.0,43.0,39.9,41.6,38.3
23,Orlando,40.2,42.0,45.0,39.1,41.6,38.1
24,Memphis,39.3,41.0,50.0,39.9,38.6,44.4
25,New Orleans,39.3,41.3,44.0,39.9,38.6,40.6
26,LA Clippers,39.2,36.3,36.0,41.3,36.9,41.5
27,Dallas,39.0,39.0,35.0,39.3,38.4,42.0
27,Golden State,39.0,38.7,34.0,42.4,37.6,40.2
29,Indiana,38.3,39.3,46.0,40.6,36.3,43.0
30,Brooklyn,37.6,37.7,33.0,37.6,37.6,37.6
