Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,55.3%,52.4%,51.6%,56.1%,54.6%,55.3%
2,Denver,55.3%,54.5%,54.6%,55.4%,55.2%,55.3%
3,Toronto,53.8%,55.5%,61.9%,54.2%,53.6%,53.8%
4,LA Lakers,53.6%,56.7%,61.5%,55.4%,52.4%,53.6%
5,Detroit,53.2%,54.1%,54.8%,52.4%,54.1%,53.2%
6,San Antonio,52.7%,53.6%,58.5%,52.2%,53.8%,52.7%
7,Minnesota,52.6%,51.5%,49.0%,52.7%,52.5%,52.6%
8,Okla City,52.6%,54.0%,58.6%,52.2%,52.8%,52.6%
9,Orlando,52.2%,52.3%,52.7%,51.2%,53.4%,52.2%
10,New York,51.9%,52.3%,51.6%,53.1%,49.7%,51.9%
11,Miami,51.6%,50.3%,58.5%,51.0%,52.2%,51.6%
12,Philadelphia,51.4%,49.8%,48.7%,52.1%,50.6%,51.4%
13,Portland,51.2%,51.0%,55.3%,50.4%,51.8%,51.2%
14,Atlanta,51.1%,51.0%,51.8%,48.8%,52.5%,51.1%
15,Cleveland,51.0%,51.3%,53.8%,50.5%,51.7%,51.0%
16,Phoenix,50.9%,51.0%,47.8%,52.0%,49.5%,50.9%
17,Chicago,50.6%,47.6%,43.2%,51.5%,49.9%,50.6%
18,Boston,50.4%,51.4%,49.4%,52.0%,48.8%,50.4%
19,Milwaukee,50.4%,44.2%,45.9%,52.4%,47.9%,50.4%
20,Charlotte,50.3%,46.9%,50.6%,49.8%,50.7%,50.3%
21,Utah,50.2%,50.5%,46.2%,53.0%,46.6%,50.2%
22,New Orleans,49.3%,51.0%,51.8%,49.3%,49.3%,49.3%
23,LA Clippers,49.3%,47.5%,41.8%,51.2%,47.2%,49.3%
24,Brooklyn,49.0%,51.9%,53.3%,48.5%,49.5%,49.0%
25,Sacramento,48.9%,45.5%,41.8%,47.0%,50.4%,48.9%
26,Memphis,48.7%,50.0%,59.2%,50.1%,47.0%,48.7%
27,Golden State,48.4%,47.4%,52.6%,51.9%,46.7%,48.4%
28,Dallas,48.0%,45.9%,48.8%,48.4%,46.9%,48.0%
29,Indiana,47.7%,51.3%,48.0%,49.1%,46.7%,47.7%
30,Washington,47.7%,47.2%,47.3%,46.5%,48.5%,47.7%
