Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Orlando,25.1,24.3,21.0,25.4,24.6,17.7
2,Utah,23.7,21.3,17.0,27.0,20.4,17.3
3,LA Lakers,22.9,26.3,29.0,24.3,22.0,18.2
4,Denver,22.6,24.7,22.0,22.0,23.3,17.9
5,Houston,22.2,21.7,23.0,23.0,21.6,16.9
6,Indiana,22.0,24.7,19.0,22.4,21.6,17.5
7,Portland,21.9,21.3,21.0,23.3,20.6,16.9
8,Dallas,21.5,23.7,25.0,23.2,17.8,17.8
9,Philadelphia,21.0,19.3,21.0,21.4,20.6,17.5
9,Memphis,21.0,18.0,20.0,23.0,18.4,18.2
9,Okla City,21.0,17.3,21.0,20.4,21.4,17.6
12,Brooklyn,20.6,19.7,19.0,20.7,20.6,16.3
13,Charlotte,20.6,16.3,19.0,18.6,22.4,15.5
14,Minnesota,20.5,20.3,23.0,22.1,18.7,17.2
14,Detroit,20.5,19.0,20.0,21.4,19.6,17.6
16,Golden State,20.3,17.0,15.0,17.8,21.3,16.8
17,Cleveland,20.1,18.0,20.0,18.9,21.6,17.5
18,Miami,19.9,18.3,19.0,20.4,19.4,15.6
19,San Antonio,19.9,16.0,22.0,19.2,21.2,16.2
20,Toronto,19.4,19.3,20.0,17.2,20.5,15.8
21,LA Clippers,19.3,23.0,15.0,17.5,21.4,17.0
22,Chicago,19.1,18.0,9.0,19.8,18.6,15.9
22,New York,19.1,20.0,19.0,19.8,18.0,17.1
24,New Orleans,18.8,19.3,23.0,18.8,18.9,16.5
25,Atlanta,18.4,13.7,8.0,20.8,17.0,18.0
26,Phoenix,18.3,19.7,19.0,18.4,18.1,16.8
27,Sacramento,17.6,14.0,11.0,16.4,18.4,17.0
28,Washington,15.9,14.0,9.0,16.8,15.1,16.0
29,Milwaukee,14.8,12.3,10.0,15.1,14.4,17.2
30,Boston,14.5,14.3,20.0,15.3,13.9,15.6
