TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1611661330,Atlanta Dream,44,30,14,0.682,1765.0,1323,2984,0.443,421,1248,0.337,645,821,0.786,390,1219,1609,942,552.0,299,198,158,696,750,3712,334.0,1,2,24,7,3,6,6,29,3,2,26,7,4,19,3,1,1,3,32,11,4,34,31,8,5,2
1610612737,Atlanta Hawks,21,13,8,0.619,970.0,863,1780,0.485,266,721,0.369,378,486,0.778,209,660,869,583,325.0,198,112,91,444,439,2370,44.0,25,19,7,10,31,23,32,3,28,32,6,37,37,22,38,27,36,20,10,22,24,5,6,36,26,20
1610612738,Boston Celtics,21,12,9,0.571,968.0,835,1874,0.446,297,881,0.337,314,411,0.764,279,644,923,495,269.0,184,106,103,490,425,2281,123.0,25,23,9,17,32,30,22,27,17,18,28,43,43,28,20,31,24,34,1,32,29,13,18,40,34,12
1610612751,Brooklyn Nets,20,4,16,0.2,920.0,721,1654,0.436,251,769,0.326,402,528,0.761,224,556,780,463,315.0,153,74,89,463,470,2095,-174.0,36,41,29,41,41,43,42,35,30,28,37,32,32,30,35,43,43,39,7,39,42,2,10,31,42,36
1610612766,Charlotte Hornets,21,10,11,0.476,965.0,817,1787,0.457,289,808,0.358,418,525,0.796,258,686,944,528,338.0,151,101,96,406,485,2341,31.0,25,28,18,27,35,32,31,16,21,21,12,29,33,13,27,22,23,27,16,43,34,10,1,26,28,22
1610612741,Chicago Bulls,20,11,9,0.55,930.0,815,1734,0.47,268,721,0.372,398,502,0.793,204,678,882,554,332.0,168,111,111,445,441,2296,-71.0,36,25,9,20,36,33,35,12,27,32,5,34,36,15,39,26,35,22,12,37,25,21,7,35,32,30
1611661329,Chicago Sky,44,10,34,0.227,1760.0,1234,2903,0.425,293,889,0.33,574,752,0.763,430,1131,1561,850,745.0,266,184,243,782,734,3335,-442.0,1,28,42,39,10,10,10,40,19,16,35,11,11,29,2,5,2,10,43,14,6,43,38,10,13,42
1610612739,Cleveland Cavaliers,22,13,9,0.591,1021.0,879,1954,0.45,305,921,0.331,432,573,0.754,311,653,964,557,335.0,202,125,103,509,521,2495,82.0,22,19,9,14,23,19,19,24,14,12,34,24,23,36,12,30,21,21,14,21,16,13,23,20,19,17
1611661323,Connecticut Sun,44,11,33,0.25,1765.0,1215,2951,0.412,271,896,0.302,636,802,0.793,376,1026,1402,765,615.0,345,161,168,863,772,3337,-445.0,1,25,41,37,3,12,9,42,26,15,43,8,8,14,7,13,12,13,38,3,9,35,43,6,12,43
1610612742,Dallas Mavericks,22,7,15,0.318,1031.0,813,1854,0.439,237,744,0.319,419,572,0.733,233,744,977,495,368.0,176,140,106,458,500,2282,-111.0,22,38,28,36,22,34,24,34,38,30,40,27,24,42,31,18,20,34,24,35,11,19,9,23,33,32
1611661321,Dallas Wings,44,10,34,0.227,1765.0,1328,3143,0.423,289,950,0.304,649,809,0.802,442,1115,1557,888,610.0,323,175,207,833,775,3594,-277.0,1,28,42,39,3,5,1,41,21,11,42,6,6,10,1,8,3,8,37,8,7,41,42,5,9,40
1610612743,Denver Nuggets,20,14,6,0.7,925.0,833,1691,0.493,233,656,0.355,414,513,0.807,232,681,913,527,289.0,165,87,87,412,435,2313,176.0,36,15,3,5,39,31,39,1,39,41,14,30,35,6,33,23,26,29,3,38,38,1,4,37,31,5
1610612765,Detroit Pistons,20,16,4,0.8,925.0,813,1725,0.471,223,637,0.35,401,547,0.733,260,630,890,506,308.0,198,128,103,487,476,2250,126.0,36,11,1,2,39,34,36,11,41,42,17,33,27,41,26,33,32,33,5,22,14,13,16,30,37,11
1611661331,Golden State Valkyries,44,23,21,0.523,1765.0,1167,2867,0.407,427,1314,0.325,659,809,0.815,384,1170,1554,815,623.0,301,126,182,772,781,3420,61.0,1,7,37,23,3,13,12,43,1,1,38,5,6,4,5,3,4,12,40,10,15,39,37,4,10,18
1610612744,Golden State Warriors,26,13,13,0.5,1189.0,927,2109,0.44,366,1052,0.348,524,655,0.8,284,772,1056,630,467.0,259,115,106,557,566,2744,-24.0,14,19,22,25,14,16,15,31,8,9,19,14,14,11,18,16,14,14,30,15,21,19,30,14,15,27
1610612745,Houston Rockets,19,11,8,0.579,889.0,789,1680,0.47,217,572,0.379,395,534,0.74,302,592,894,448,307.0,197,106,112,408,442,2190,108.0,42,25,7,16,42,36,41,13,42,43,2,35,30,40,14,41,30,41,4,24,29,22,2,34,39,14
1611661325,Indiana Fever,44,24,20,0.545,1765.0,1380,3025,0.456,365,1056,0.346,609,791,0.77,389,1081,1470,906,615.0,339,121,173,820,838,3734,148.0,1,6,36,21,3,2,3,19,9,8,21,10,9,25,4,11,9,7,38,5,19,37,41,2,3,7
1610612754,Indiana Pacers,21,5,16,0.238,978.0,789,1851,0.426,240,777,0.309,453,582,0.778,270,627,897,492,318.0,153,110,94,496,500,2271,-220.0,25,40,29,38,25,36,25,39,37,26,41,22,21,21,23,35,29,36,9,39,26,7,21,23,35,38
1610612746,LA Clippers,20,7,13,0.35,929.998333,738,1615,0.457,247,720,0.343,368,453,0.812,194,611,805,445,342.0,183,104,90,409,412,2091,-93.0,36,38,22,34,37,42,43,18,32,34,23,38,39,5,42,39,41,42,17,33,32,3,3,42,43,31
1611661319,Las Vegas Aces,44,30,14,0.682,1760.0,1305,2975,0.439,400,1138,0.351,670,813,0.824,356,1118,1474,861,572.0,329,216,113,730,758,3680,128.0,1,2,24,7,10,8,7,33,6,5,16,4,5,2,9,7,8,9,34,7,2,23,34,7,6,10
1610612747,Los Angeles Lakers,23,14,9,0.609,1040.0,869,1810,0.48,246,739,0.333,459,606,0.757,229,680,909,532,382.0,213,101,91,483,530,2443,27.0,18,15,9,13,21,22,28,5,33,31,32,20,17,33,34,24,27,26,26,17,34,5,14,19,22,23
1611661320,Los Angeles Sparks,44,21,23,0.477,1775.0,1349,2952,0.457,380,1127,0.337,691,898,0.769,351,1113,1464,911,660.0,319,136,207,742,805,3769,-113.0,1,9,39,26,1,4,8,17,7,6,27,1,2,26,10,10,10,6,41,9,13,41,35,3,2,33
1610612763,Memphis Grizzlies,24,8,16,0.333,1088.0,885,2051,0.431,302,904,0.334,476,593,0.803,269,743,1012,614,371.0,190,105,122,544,521,2548,-67.0,16,36,29,35,17,18,16,38,15,14,31,19,19,9,24,19,16,16,25,25,31,27,28,20,17,29
