Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Lakers,67.4%,71.5%,78.0%,70.8%,65.1%,61.3%
2,Denver,64.6%,60.9%,74.5%,64.1%,65.1%,62.7%
3,San Antonio,64.4%,68.2%,68.9%,63.8%,65.4%,60.3%
4,Toronto,64.4%,69.4%,69.4%,60.4%,66.3%,58.3%
5,Minnesota,62.6%,61.2%,58.0%,62.1%,63.1%,59.9%
6,Okla City,62.6%,59.9%,62.0%,66.1%,60.2%,60.7%
7,Utah,61.9%,65.7%,76.1%,64.6%,59.2%,62.1%
8,Cleveland,61.9%,65.5%,63.2%,64.3%,59.0%,63.7%
9,Portland,61.8%,58.2%,57.1%,60.6%,62.9%,58.9%
10,Atlanta,61.7%,70.2%,63.0%,57.1%,64.3%,60.6%
11,Orlando,60.8%,57.1%,50.0%,58.4%,64.0%,58.5%
12,Phoenix,60.7%,65.0%,63.5%,63.9%,57.2%,60.7%
13,LA Clippers,60.7%,51.9%,44.9%,64.3%,56.8%,60.0%
14,Boston,60.6%,58.3%,58.1%,63.5%,58.1%,61.7%
15,Chicago,60.6%,60.9%,59.5%,61.9%,59.6%,61.8%
16,Detroit,60.3%,69.0%,74.5%,58.7%,62.2%,60.5%
17,Milwaukee,60.2%,50.4%,62.0%,62.2%,57.6%,60.3%
18,Miami,59.9%,50.0%,46.4%,59.5%,60.5%,59.4%
19,Brooklyn,59.3%,60.5%,48.7%,58.7%,59.9%,58.5%
20,New York,59.3%,62.1%,63.0%,58.0%,61.5%,60.7%
21,Charlotte,59.2%,54.9%,55.6%,58.5%,59.7%,55.7%
22,Dallas,59.0%,56.2%,61.3%,58.3%,60.4%,60.3%
23,Golden State,58.6%,56.9%,48.8%,64.1%,56.3%,59.0%
24,Philadelphia,58.0%,56.4%,57.1%,58.0%,58.0%,59.8%
25,Washington,57.9%,57.0%,55.8%,57.1%,58.6%,57.8%
26,Memphis,57.4%,57.8%,82.5%,58.7%,55.8%,61.3%
27,Sacramento,57.3%,59.9%,59.1%,52.8%,60.7%,60.2%
28,New Orleans,56.8%,58.4%,58.7%,57.5%,56.1%,57.2%
29,Houston,56.6%,53.4%,52.5%,56.0%,57.2%,57.2%
30,Indiana,52.2%,59.5%,66.7%,55.2%,49.6%,61.6%
