Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,38.4%,38.0%,38.6%,37.6%,39.2%,38.4%
2,Portland,33.5%,43.1%,47.7%,31.1%,35.3%,33.5%
3,Detroit,31.1%,29.8%,22.6%,34.0%,27.2%,31.1%
4,Phoenix,30.9%,39.2%,39.5%,29.7%,32.2%,30.9%
5,New York,30.6%,31.1%,28.6%,32.0%,28.2%,30.6%
6,Utah,30.4%,24.1%,34.3%,34.3%,26.1%,30.4%
7,Charlotte,30.3%,31.4%,40.0%,29.1%,31.1%,30.3%
8,Boston,29.4%,31.7%,29.2%,30.4%,28.2%,29.4%
9,New Orleans,28.5%,29.0%,20.0%,29.6%,27.3%,28.5%
10,Denver,28.1%,26.8%,32.4%,28.8%,27.5%,28.1%
11,Philadelphia,27.9%,26.7%,22.0%,27.6%,28.2%,27.9%
12,Indiana,27.6%,30.1%,20.8%,25.0%,29.5%,27.6%
13,Orlando,27.2%,23.0%,26.7%,26.0%,28.7%,27.2%
14,Cleveland,27.1%,22.8%,29.8%,25.0%,29.8%,27.1%
15,San Antonio,27.0%,18.3%,23.3%,25.4%,29.8%,27.0%
16,Minnesota,26.3%,33.3%,31.8%,27.4%,25.2%,26.3%
17,LA Lakers,25.4%,28.1%,30.6%,24.8%,25.9%,25.4%
18,Brooklyn,24.7%,20.8%,18.9%,25.7%,23.7%,24.7%
19,Memphis,24.3%,30.1%,28.2%,24.2%,24.5%,24.3%
20,Golden State,24.3%,25.5%,22.5%,21.4%,25.7%,24.3%
21,Toronto,24.2%,26.4%,37.1%,23.9%,24.3%,24.2%
22,LA Clippers,24.0%,21.1%,20.4%,24.3%,23.7%,24.0%
23,Chicago,23.5%,19.4%,17.4%,25.1%,22.2%,23.5%
24,Okla City,23.3%,23.1%,10.0%,23.0%,23.6%,23.3%
25,Atlanta,22.6%,21.3%,15.4%,24.4%,21.5%,22.6%
26,Washington,22.1%,17.6%,16.7%,20.3%,23.4%,22.1%
27,Miami,22.1%,24.7%,32.6%,21.1%,23.1%,22.1%
28,Dallas,22.0%,21.8%,25.0%,22.1%,21.7%,22.0%
29,Sacramento,19.7%,15.9%,9.5%,19.8%,19.7%,19.7%
30,Milwaukee,19.4%,15.7%,6.8%,18.0%,21.0%,19.4%
