Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,16.4,18.3,16.0,16.7,16.1,14.5
2,Portland,15.4,21.0,26.0,14.3,16.4,13.4
3,New York,14.6,15.7,16.0,14.7,14.4,11.0
4,Indiana,14.2,12.3,10.0,12.4,15.8,8.9
5,Utah,13.9,11.3,8.0,16.0,11.9,12.0
6,Detroit,13.7,11.3,7.0,15.9,11.3,11.3
7,New Orleans,13.7,14.7,17.0,13.9,13.4,12.1
8,Boston,13.3,16.0,10.0,14.6,12.3,11.3
9,Phoenix,13.0,14.7,18.0,11.3,15.0,9.5
10,Charlotte,12.9,16.0,22.0,11.6,14.1,12.2
11,Cleveland,12.4,8.3,10.0,10.8,14.6,11.3
12,Philadelphia,12.3,12.0,11.0,11.8,13.0,10.4
13,Orlando,11.5,10.3,12.0,11.0,12.1,11.2
14,Denver,11.4,10.7,9.0,12.6,10.3,11.4
14,Brooklyn,11.4,8.7,12.0,11.9,11.0,10.9
16,Memphis,11.3,14.3,11.0,11.2,11.3,12.8
17,Minnesota,10.9,13.7,19.0,12.0,9.7,11.2
18,San Antonio,10.9,7.7,10.0,9.9,12.8,10.9
19,Golden State,10.8,14.0,20.0,9.2,11.5,12.5
20,Chicago,10.6,10.7,7.0,10.8,10.4,10.0
21,Washington,10.4,9.0,12.0,9.7,11.0,10.6
22,Okla City,10.3,11.7,9.0,9.7,10.8,10.8
23,Dallas,10.1,11.0,10.0,10.1,10.2,10.1
24,LA Clippers,9.9,9.3,10.0,9.4,10.6,10.2
25,Toronto,9.8,8.0,8.0,9.4,10.0,12.6
26,LA Lakers,9.7,10.7,11.0,9.5,9.9,9.7
27,Atlanta,9.6,8.7,6.0,11.0,8.8,11.8
28,Miami,9.6,12.0,14.0,9.6,9.6,9.8
29,Sacramento,8.8,7.0,4.0,9.1,8.4,11.0
30,Milwaukee,8.3,7.3,3.0,7.4,9.4,8.4
