Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,53.2,58.0,68.0,50.3,55.2,53.2
2,Houston,54.1,47.0,46.0,56.1,52.1,54.1
3,San Antonio,55.3,55.3,60.0,52.6,60.6,55.3
4,Toronto,55.8,51.7,47.0,53.7,57.1,55.8
5,Boston,56.0,57.3,62.0,54.5,57.5,56.0
6,Phoenix,56.1,55.7,49.0,51.3,62.1,56.1
7,Minnesota,56.2,50.7,62.0,53.8,58.6,56.2
7,Orlando,56.2,51.7,49.0,55.1,57.6,56.2
9,Golden State,56.8,60.3,65.0,55.8,57.3,56.8
10,Denver,56.9,56.7,49.0,54.7,58.8,56.9
11,Atlanta,57.0,66.3,74.0,56.2,57.5,57.0
11,Detroit,57.0,51.3,54.0,56.6,57.4,57.0
13,New York,57.5,57.7,50.0,56.9,58.6,57.5
14,LA Clippers,57.9,56.7,61.0,59.0,56.7,57.9
15,Philadelphia,58.5,55.3,57.0,56.6,60.6,58.5
16,Indiana,58.7,59.3,62.0,57.3,59.8,58.7
17,Dallas,58.7,58.7,63.0,57.8,61.0,58.7
18,Memphis,59.1,50.0,47.0,58.6,59.7,59.1
19,Cleveland,59.7,56.3,55.0,59.2,60.4,59.7
20,LA Lakers,59.8,52.3,71.0,61.3,58.8,59.8
21,Milwaukee,60.2,59.7,55.0,60.3,60.0,60.2
22,Chicago,60.6,64.0,70.0,61.7,59.6,60.6
23,New Orleans,60.9,60.0,49.0,61.9,59.9,60.9
24,Portland,61.3,66.0,72.0,59.0,63.0,61.3
25,Charlotte,61.3,60.7,70.0,57.0,65.0,61.3
26,Miami,61.5,49.3,52.0,57.9,65.1,61.5
27,Utah,62.2,68.0,67.0,64.3,59.9,62.2
28,Sacramento,63.4,66.7,75.0,62.4,64.2,63.4
29,Brooklyn,63.9,56.0,53.0,63.6,64.1,63.9
30,Washington,65.1,63.7,57.0,65.0,65.1,65.1
