Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Antonio,25.6,27.3,34.0,24.5,27.8,28.9
2,Denver,26.8,24.0,12.0,26.4,27.1,29.9
3,Houston,26.9,24.7,25.0,28.7,25.0,26.6
4,Okla City,27.1,31.0,44.0,24.1,29.2,26.4
5,New York,27.6,28.3,25.0,27.8,27.2,27.7
6,Phoenix,27.9,27.0,24.0,24.2,32.7,29.3
7,Golden State,28.4,33.3,35.0,28.0,28.7,27.1
8,Milwaukee,28.8,29.7,33.0,28.8,28.7,29.2
9,Boston,28.8,27.0,22.0,30.1,27.5,26.2
10,Atlanta,28.9,28.0,28.0,30.0,28.3,29.9
10,Minnesota,28.9,27.3,32.0,27.3,30.6,26.8
12,Indiana,29.1,30.7,33.0,29.6,28.7,28.6
13,Toronto,29.2,24.0,20.0,27.0,30.5,28.7
14,Orlando,29.4,26.3,24.0,29.3,29.4,27.5
15,Dallas,29.6,30.7,34.0,30.1,28.6,28.4
16,Cleveland,29.8,32.3,31.0,29.7,29.9,27.1
17,Memphis,29.9,24.3,22.0,29.2,30.7,29.8
18,Detroit,30.3,26.0,30.0,30.0,30.6,28.5
19,Portland,30.8,30.3,28.0,30.7,30.8,28.5
19,Miami,30.8,24.0,32.0,27.9,33.6,27.4
21,LA Clippers,30.8,30.7,30.0,29.0,32.9,27.3
22,LA Lakers,31.2,26.3,36.0,32.8,30.1,27.8
23,Brooklyn,31.5,28.3,28.0,31.4,31.5,27.8
24,Chicago,31.5,31.0,36.0,32.7,30.5,29.7
25,New Orleans,31.6,33.3,25.0,34.8,28.4,29.9
26,Utah,31.6,30.0,30.0,30.5,32.9,29.5
27,Philadelphia,32.3,28.7,20.0,32.9,31.6,29.2
28,Sacramento,32.6,32.7,35.0,31.9,33.1,29.4
29,Washington,32.6,31.0,31.0,32.8,32.4,30.6
30,Charlotte,33.5,32.0,38.0,30.4,36.1,28.8
