Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,50.6,48.7,44.0,51.4,50.1,53.1
2,Boston,52.8,52.7,51.0,56.5,49.1,52.5
3,Detroit,54.6,58.3,58.0,56.5,52.4,55.2
4,Denver,54.8,62.3,60.0,55.1,54.5,55.4
5,Cleveland,55.2,53.3,54.0,54.0,57.0,57.1
6,LA Lakers,55.4,56.0,55.0,57.5,54.0,55.9
7,Orlando,56.0,53.7,52.0,54.6,57.9,51.5
8,Houston,56.1,59.0,66.0,53.6,58.6,55.0
9,Dallas,56.1,57.3,52.0,57.0,54.0,57.8
10,Brooklyn,56.3,52.0,52.0,59.1,53.9,55.4
11,San Antonio,56.4,57.0,66.0,58.5,52.2,58.8
12,Philadelphia,56.6,56.3,49.0,57.6,55.4,57.4
13,Miami,56.9,56.0,55.0,58.4,55.4,55.0
14,Phoenix,57.1,60.0,64.0,57.4,56.6,58.6
15,New York,57.4,61.7,61.0,55.6,60.8,55.1
16,Milwaukee,57.4,54.7,51.0,57.7,57.1,54.9
17,Golden State,57.4,59.0,62.0,49.8,61.3,55.8
18,Charlotte,57.7,54.7,57.0,56.6,58.8,55.7
19,Minnesota,57.9,55.7,52.0,57.3,58.5,54.2
20,LA Clippers,58.3,63.3,68.0,57.0,59.9,53.3
21,Memphis,58.7,55.0,49.0,57.0,60.9,57.7
21,Atlanta,58.7,59.3,61.0,60.2,57.8,57.7
23,Toronto,58.8,58.3,63.0,60.2,58.0,57.6
24,Portland,60.0,58.0,51.0,60.3,59.8,57.8
25,New Orleans,60.1,63.0,69.0,58.0,62.3,59.5
26,Sacramento,61.0,57.7,62.0,63.0,59.4,55.9
27,Chicago,61.1,66.3,73.0,59.3,62.8,58.7
28,Utah,61.9,69.0,77.0,63.1,60.6,61.8
29,Indiana,62.4,62.3,58.0,60.7,63.8,57.0
30,Washington,63.1,66.0,83.0,64.7,62.0,59.5
