Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Okla City,25.3,20.3,19.0,25.9,24.8,27.1
2,Boston,26.1,29.3,24.0,28.0,24.5,26.3
3,Cleveland,26.5,23.7,17.0,25.0,28.4,30.3
4,Houston,26.7,28.7,30.0,25.5,27.7,27.4
5,Detroit,27.0,31.0,28.0,27.4,26.6,28.4
5,Denver,27.0,30.3,25.0,28.4,25.6,28.2
7,Phoenix,27.5,24.3,21.0,26.5,28.6,30.5
8,Orlando,27.5,27.7,27.0,25.9,29.6,26.0
9,Golden State,28.2,23.7,23.0,24.0,30.0,28.5
10,Miami,28.3,30.7,29.0,29.0,27.4,28.4
11,Milwaukee,28.5,27.3,22.0,28.8,28.1,28.4
12,Brooklyn,29.3,27.7,27.0,30.0,28.6,28.4
13,LA Lakers,29.4,28.3,22.0,32.0,27.7,28.1
14,Atlanta,29.4,28.3,21.0,31.3,28.3,30.0
15,San Antonio,29.5,32.7,32.0,30.5,27.4,30.3
16,Washington,29.5,25.3,23.0,31.2,28.3,30.9
17,New York,29.8,33.0,35.0,28.9,31.4,27.6
18,Dallas,29.9,34.0,35.0,29.9,29.8,29.6
19,Charlotte,29.9,31.3,34.0,31.0,29.0,28.5
20,Portland,30.0,33.3,36.0,31.6,28.6,29.5
21,Toronto,30.2,29.7,26.0,30.2,30.2,29.4
22,Minnesota,30.3,30.0,36.0,29.9,30.9,28.2
23,Utah,30.4,29.3,37.0,31.6,29.1,31.5
24,LA Clippers,30.5,28.7,32.0,29.8,31.3,27.2
25,Memphis,30.5,29.3,29.0,29.7,31.6,29.6
26,Chicago,30.6,28.7,24.0,29.2,31.6,30.0
27,Sacramento,31.3,30.3,38.0,31.1,31.3,28.5
28,New Orleans,31.3,31.7,35.0,30.5,32.3,30.6
29,Philadelphia,31.9,31.7,24.0,33.5,30.0,28.9
30,Indiana,32.7,33.3,30.0,30.6,34.6,29.7
