Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,24.7,24.7,25.0,24.1,25.4,28.5
2,Okla City,25.8,28.3,30.0,25.6,26.0,25.9
3,LA Lakers,26.0,27.7,33.0,25.5,26.3,27.7
4,Dallas,26.5,25.0,26.0,27.5,24.2,28.1
5,Boston,26.8,22.7,14.0,29.3,24.6,26.3
6,San Antonio,26.9,24.3,34.0,28.0,24.8,28.5
7,Brooklyn,27.4,24.0,24.0,29.1,25.6,27.0
8,Denver,27.4,29.3,35.0,26.7,28.1,27.2
9,Detroit,27.6,27.3,30.0,29.1,25.9,26.7
10,New York,27.6,28.7,26.0,26.7,29.4,27.5
11,Charlotte,27.8,23.3,23.0,25.6,29.8,27.2
12,LA Clippers,27.9,34.7,36.0,27.3,28.6,26.1
13,Minnesota,27.9,31.0,27.0,27.4,28.6,26.1
14,Memphis,28.2,25.7,20.0,27.3,29.3,28.1
15,New Orleans,28.2,29.3,28.0,27.5,29.0,28.8
16,Toronto,28.3,27.0,30.0,29.4,27.8,28.3
17,Orlando,28.5,26.0,25.0,28.7,28.3,25.5
18,Houston,28.6,27.0,34.0,26.0,30.9,27.7
19,Miami,28.7,27.7,22.0,29.4,28.0,26.6
20,Cleveland,28.8,24.7,40.0,29.0,28.6,26.8
21,Milwaukee,28.9,27.3,29.0,28.9,29.0,26.6
22,Golden State,28.9,33.7,38.0,23.4,31.3,27.3
23,Phoenix,29.1,29.7,28.0,30.1,28.0,28.1
24,Atlanta,29.3,31.0,40.0,28.8,29.5,27.7
25,Chicago,29.7,35.3,39.0,27.8,31.1,28.7
26,Sacramento,29.8,27.3,24.0,31.9,28.1,27.4
27,Indiana,30.0,32.0,34.0,30.1,29.9,27.3
28,Utah,30.5,31.3,36.0,29.6,31.4,30.3
29,Portland,30.6,28.0,24.0,28.7,32.3,28.3
30,Washington,32.1,31.0,26.0,33.5,31.1,28.6
