Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,1.303,1.255,1.632,1.236,1.379,1.641
2,Okla City,1.344,1.182,1.167,1.153,1.528,1.39
3,Orlando,1.56,1.204,0.952,1.607,1.5,1.422
4,Portland,1.586,1.898,2.25,1.405,1.762,1.689
5,Toronto,1.608,1.226,1.143,1.623,1.601,1.716
6,Phoenix,1.61,1.612,1.2,1.519,1.708,2.233
7,Golden State,1.615,1.633,2.143,1.526,1.65,1.613
8,Atlanta,1.618,1.977,3.091,1.602,1.628,1.774
9,Boston,1.623,1.921,1.786,1.626,1.621,1.844
10,Cleveland,1.625,1.628,1.769,1.655,1.59,1.759
11,LA Lakers,1.65,1.4,1.833,1.594,1.69,1.994
12,Minnesota,1.71,1.34,1.471,1.583,1.879,1.656
13,Dallas,1.722,2.105,3.0,1.75,1.662,2.037
14,San Antonio,1.756,2.024,1.875,1.779,1.711,2.048
15,New York,1.759,1.907,1.278,1.649,2.0,1.705
16,New Orleans,1.766,1.678,1.75,1.604,1.99,2.046
17,Milwaukee,1.812,1.592,2.143,1.82,1.802,2.079
18,Houston,1.841,1.475,1.667,1.69,1.978,1.661
19,Miami,1.867,1.646,1.043,1.786,1.971,1.935
20,Memphis,1.87,1.511,1.412,1.784,1.972,1.812
21,Indiana,1.884,1.955,2.154,1.808,1.954,1.67
22,Philadelphia,1.942,2.077,2.143,2.069,1.819,1.767
23,LA Clippers,1.976,3.231,2.909,1.912,2.054,1.712
24,Denver,2.0,2.324,2.083,1.84,2.176,2.238
25,Sacramento,2.052,2.615,5.25,1.786,2.3,1.949
26,Brooklyn,2.061,1.314,1.25,2.245,1.88,1.807
27,Utah,2.116,2.019,1.824,2.248,1.979,2.509
28,Charlotte,2.149,1.766,2.0,2.286,2.051,2.017
29,Chicago,2.192,2.333,1.688,2.435,2.029,2.292
30,Washington,2.429,2.486,2.8,2.308,2.533,2.135
