Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Orlando,0.573,0.556,0.556,0.603,0.537,0.597
2,Dallas,0.58,0.611,0.659,0.575,0.591,0.628
3,Indiana,0.598,0.619,0.651,0.593,0.603,0.591
4,Chicago,0.604,0.554,0.614,0.636,0.581,0.652
5,Detroit,0.607,0.595,0.738,0.549,0.679,0.605
6,Houston,0.614,0.509,0.556,0.58,0.643,0.585
7,Portland,0.622,0.66,0.783,0.598,0.641,0.63
8,Memphis,0.624,0.607,0.649,0.579,0.681,0.643
9,Denver,0.627,0.594,0.568,0.627,0.627,0.662
10,Philadelphia,0.629,0.648,0.667,0.637,0.62,0.667
11,Milwaukee,0.635,0.629,0.714,0.629,0.643,0.636
12,Okla City,0.637,0.556,0.553,0.622,0.648,0.637
13,Golden State,0.637,0.667,0.769,0.617,0.645,0.633
14,Toronto,0.638,0.565,0.585,0.598,0.659,0.629
15,Atlanta,0.639,0.607,0.708,0.623,0.648,0.651
16,New Orleans,0.639,0.75,0.761,0.63,0.65,0.655
17,Washington,0.642,0.681,0.667,0.655,0.633,0.651
18,Charlotte,0.645,0.615,0.696,0.646,0.643,0.644
19,Minnesota,0.652,0.578,0.581,0.649,0.655,0.61
20,LA Lakers,0.653,0.647,0.688,0.636,0.664,0.655
21,LA Clippers,0.654,0.646,0.711,0.675,0.632,0.645
22,Sacramento,0.656,0.739,0.84,0.643,0.665,0.65
23,Phoenix,0.656,0.664,0.571,0.628,0.686,0.64
24,San Antonio,0.662,0.644,0.612,0.663,0.66,0.639
25,Cleveland,0.664,0.631,0.561,0.665,0.662,0.624
26,Boston,0.664,0.709,0.758,0.662,0.667,0.589
27,Brooklyn,0.668,0.609,0.676,0.703,0.631,0.669
28,New York,0.671,0.661,0.657,0.678,0.66,0.599
29,Utah,0.675,0.724,0.62,0.725,0.623,0.665
30,Miami,0.684,0.632,0.706,0.699,0.668,0.639
